time,S,I,R
21.5,3.8981576930476035e-11,116.66318521376985,883.336814786193
22.0,3.215296426744234e-11,110.9734545313198,889.0265454686498
22.5,-3.4268931063482815e-11,105.56121528874651,894.4387847112896
23.0,3.475056070001681e-11,100.41293406864487,899.5870659313222
23.5,2.7030729815715854e-11,95.51573748655044,904.4842625134243
24.0,3.065742579743152e-11,90.85738000008789,909.1426199998832
24.5,2.477799198217038e-11,86.42621328913206,913.573786710845
25.0,-3.2908714745824743e-11,82.21115712884689,917.7888428711877
25.5,2.831114474231778e-11,78.20167168315814,921.7983283168153
26.0,1.6980201667665574e-11,74.3877311501701,925.6122688498147
26.5,-3.6089914380678134e-12,70.75979869190398,929.2402013081014
27.0,7.465599713361974e-12,67.30880258747649,932.6911974125178
27.5,3.609741473527832e-11,64.02611354909641,935.9738864508693
28.0,-1.6598633292834663e-11,60.90352314437079,939.0964768556476
28.5,6.442350480329236e-12,57.93322327065372,942.0667767293415
29.0,-2.2990641754839553e-11,55.10778663124492,944.8922133687797
29.5,2.6353435384119244e-11,52.420148162719016,947.5798518372562
30.0,2.576514918945107e-11,49.86358736905656,950.1364126309193
30.5,1.284663680823403e-11,47.43171151660258,952.5682884833861
31.0,1.707799333107266e-11,45.11843964902105,954.8815603509634
31.5,3.094726629435217e-11,42.917987381713296,957.0820126182572
32.0,7.291256833490184e-12,40.82485243787401,959.1751475621202
32.5,-2.5470259017070715e-11,38.83380088970803,961.1661991103189
33.0,1.8739098323354722e-11,36.93985407153907,963.0601459284437
33.5,-1.4773488183981423e-11,35.138276129611135,964.8617238704052
34.0,1.776121127356679e-11,33.424562180708556,966.5754378192753
34.5,-2.2542237066711434e-11,31.794427047161044,968.205572952863
35.0,1.0191556748136428e-11,30.243794542679893,969.7562054573114
35.5,1.8698692086352203e-11,28.76878727746765,971.2312127225151
36.0,-6.383219721451782e-12,27.365716965082715,972.6342830349251
36.5,-1.6487067021824168e-11,26.03107519955388,973.968924800464
37.0,-1.564941607829887e-11,24.76152468123095,975.2384753187861
37.5,-1.2221155002473479e-11,23.553890872308177,976.4461091277054
38.0,-9.298831115310987e-12,22.405154059130776,977.5948459408798
38.5,-6.592150548904412e-12,21.31244180129203,978.6875581987159
39.0,-3.5892539194276943e-12,20.273021749031333,979.7269782509737
39.5,-1.0237839472258937e-12,19.284294810960805,980.7157051890417
40.0,2.2689061355010642e-13,18.34378865494057,981.6562113450607
40.5,3.9089031222093024e-13,17.449151525822955,982.5508484741781
41.0,2.0819064783471772e-13,16.59814636460335,983.4018536353979
41.5,6.744072836536352e-14,15.78864521444943,984.211354785552
42.0,1.1867207858895524e-14,15.018623901164567,984.9813760988368
42.5,1.8489207278748785e-15,14.286156970145633,985.7138430298558
43.0,4.060768876849816e-16,13.58941287250771,986.4105871274937
43.5,1.0442124759658493e-16,12.926649385461559,987.0733506145399
44.0,2.49245595792929e-17,12.296209255524177,987.7037907444773
44.5,5.477808560918245e-18,11.696516054149685,988.3034839458517
45.0,1.163193642423806e-18,11.126070235490143,988.8739297645112
45.5,2.4295382450038647e-19,10.583445387224227,989.4165546127771
46.0,5.288068822661475e-20,10.067284664932467,989.9327153350689
46.5,1.2601977389903463e-20,9.576297397737406,990.4237026022639
47.0,3.2309407002833734e-21,9.109255862030793,990.8907441379705
47.5,8.785425381336396e-22,8.664992211124922,991.3350077888764
48.0,2.521178759520642e-22,8.242395554645036,991.7576044453563
48.5,7.62873092092593e-23,7.8404091804361595,992.1595908195651
49.0,2.4303651844048e-23,7.458027912677219,992.541972087324
49.5,8.169825236943002e-24,7.094295599269829,992.9057044007313
50.0,2.8996238611692e-24,6.748302719834735,993.2516972801665
50.5,1.0829619514373812e-24,6.419184112216521,993.5808158877848
51.0,4.242597986566958e-25,6.106116808776899,993.8938831912244
51.5,1.7388072945569086e-25,5.8083179782541885,994.1916820217472
52.0,7.438638518206988e-26,5.525042968070916,994.4749570319304
52.5,3.3149966960850116e-26,5.255583442940834,994.7444165570606
53.0,1.536557833656898e-26,4.9992656137854405,995.000734386216
53.5,7.394936197240045e-27,4.755448552485949,995.2445514475155
54.0,3.688377259307249e-27,4.52352258961518,995.4764774103862
54.5,1.9031520526298646e-27,4.302907789665858,995.6970922103357
55.0,1.0141707838988144e-27,4.093052500705192,995.9069474992963
55.5,5.572525541909492e-28,3.8934319748465827,996.106568025155
56.0,3.152524256873399e-28,3.703547056819892,996.2964529431816
56.5,1.833688803761606e-28,3.522922935381741,996.4770770646198
57.0,1.0951456563755381e-28,3.3511079561959685,996.6488920438056
57.5,6.707175349706302e-29,3.187672492500352,996.8123275075012
58.0,4.207216283567402e-29,3.032207870621983,996.9677921293795
58.5,2.6997726403171186e-29,2.8843253479404583,997.115674652061
59.0,1.770321971181281e-29,2.743655140859338,997.2563448591421
59.5,1.1849894747405893e-29,2.609845500681833,997.3901544993197
60.0,8.088686042518152e-30,2.482561833548166,997.5174381664534
60.5,5.6250905334089584e-30,2.361485864080691,997.6385141359209
61.0,3.981763771901201e-30,2.2463148394219883,997.7536851605796
61.5,2.8664238121838433e-30,2.136760772062199,997.8632392279394
62.0,2.096844922672364e-30,2.032549719625136,997.9674502803765
62.5,1.5574482163740697e-30,1.933421100099128,998.0665788999025
63.0,1.1737063713997184e-30,1.8391270403393298,998.1608729596624
63.5,8.968021813854539e-31,1.7494317560688875,998.2505682439328
64.0,6.942780097854129e-31,1.664110962452456,998.3358890375492
64.5,5.442418545070879e-31,1.5829513131451995,998.4170486868566
65.0,4.31725483403014e-31,1.505749866724701,998.4942501332771
65.5,3.463609032522054e-31,1.4323135792105053,998.5676864207912
66.0,2.8087710769158427e-31,1.3624588216688693,998.6375411783329
66.5,2.3011366911439336e-31,1.296010920789141,998.7039890792125
67.0,1.9036657846617932e-31,1.2328037222547648,998.767196277747
67.5,1.589481202572628e-31,1.172679175224314,998.8273208247774
68.0,1.3388768279635768e-31,1.115486937037291,998.8845130629644
68.5,1.1372605622876072e-31,1.0610839972166244,998.938916002785
69.0,9.73724766645223e-32,1.0093343200365739,998.9906656799651
69.5,8.400414496432474e-32,0.9601085043543404,999.0398914956473
70.0,7.299499894607808e-32,0.913283459997448,999.0867165400043
70.5,6.386470103828524e-32,0.8687421000269461,999.1312578999748
71.0,5.624176672595666e-32,0.8263730478816267,999.1736269521201
71.5,4.983669880024678e-32,0.7860703588191347,999.2139296411826
72.0,4.4422244647908476e-32,0.7477332550511655,999.2522667449506
72.5,3.98187623048478e-32,0.7112658738731558,999.2887341261287
73.0,3.588328729235712e-32,0.6765770278282319,999.3234229721736
73.5,3.250131258070827e-32,0.6435799767803487,999.3564200232214
74.0,2.9580553850503444e-32,0.61219221095314,999.3878077890486
74.5,2.7046194135527526e-32,0.5823352445571351,999.4176647554447
75.0,2.483723236508209e-32,0.5539344195590422,999.4460655804427
75.5,2.2903660283448276e-32,0.5269187191213776,999.4730812808804
76.0,2.1204264934653554e-32,0.5012205899139347,999.4987794100878
76.5,1.970491069311465e-32,0.4767757732686676,999.5232242267331
77.0,1.837718581355571e-32,0.45352314444238756,999.5464768555593
77.5,1.7197331836899588e-32,0.4314045597215579,999.5685954402802
78.0,1.614539233201233e-32,0.41036471107907085,999.5896352889226
78.5,1.5204531909669512e-32,0.39035098794328155,999.6096490120584
79.0,1.4360488815947027e-32,0.37131334558515483,999.6286866544166
79.5,1.360113307421912e-32,0.35320418002083914,999.6467958199809
80.0,1.2916107715531517e-32,0.33597820891960667,999.6640217910821
80.5,1.2296536568383485e-32,0.319592358333577,999.6804076416681
81.0,1.1734785321135323e-32,0.3040056550952665,999.6959943449065
81.5,1.1224264873783227e-32,0.28917912432093956,999.7108208756808
82.0,1.0759269283948069e-32,0.275075691985792,999.7249243080159
82.5,1.0334841355437832e-32,0.2616600921929646,999.7383399078087
83.0,9.94666087595312e-33,0.24889877893578138,999.7511012210659
83.5,9.590951438894577e-33,0.23675984225099225,999.7632401577507
84.0,9.264402372652847e-33,0.22521292847636373,999.7747870715253
84.5,8.96410312353111e-33,0.21422916432500322,999.7857708356767
85.0,8.687487925383691e-33,0.20378108469721298,999.7962189153045
85.5,8.432288951108913e-33,0.19384256394307003,999.8061574360586
86.0,8.196496607762507e-33,0.1843887505477531,999.8156112494539
86.5,7.978325747314243e-33,0.17539600505623623,999.8246039949455
87.0,7.776186805300258e-33,0.1668418409327714,999.833158159069
87.5,7.588661098139346e-33,0.15870486834130137,999.8412951316604
