time,ODE_I,SSA_I,difference
33.5,35.138276129611135,37,1.8617238703888646
34.0,33.424562180708556,34,0.5754378192914444
34.5,31.794427047161044,32,0.20557295283895627
35.0,30.243794542679893,29,-1.2437945426798933
35.5,28.76878727746765,28,-0.7687872774676485
36.0,27.365716965082715,27,-0.365716965082715
36.5,26.03107519955388,24,-2.0310751995538787
37.0,24.76152468123095,21,-3.7615246812309486
37.5,23.553890872308177,18,-5.553890872308177
38.0,22.405154059130776,18,-4.405154059130776
38.5,21.31244180129203,18,-3.3124418012920316
39.0,20.273021749031333,17,-3.273021749031333
39.5,19.284294810960805,17,-2.2842948109608052
40.0,18.34378865494057,17,-1.343788654940571
40.5,17.449151525822955,15,-2.4491515258229555
41.0,16.59814636460335,13,-3.5981463646033482
41.5,15.78864521444943,13,-2.7886452144494296
42.0,15.018623901164567,13,-2.018623901164567
42.5,14.286156970145633,12,-2.2861569701456332
43.0,13.58941287250771,11,-2.58941287250771
43.5,12.926649385461559,10,-2.926649385461559
44.0,12.296209255524177,10,-2.296209255524177
44.5,11.696516054149685,10,-1.6965160541496846
45.0,11.126070235490143,10,-1.1260702354901433
45.5,10.583445387224227,10,-0.5834453872242271
46.0,10.067284664932467,9,-1.0672846649324672
46.5,9.576297397737406,9,-0.576297397737406
47.0,9.109255862030793,9,-0.10925586203079263
47.5,8.664992211124922,7,-1.6649922111249218
48.0,8.242395554645036,7,-1.2423955546450358
48.5,7.8404091804361595,5,-2.8404091804361595
49.0,7.458027912677219,4,-3.4580279126772187
49.5,7.094295599269829,4,-3.094295599269829
50.0,6.748302719834735,3,-3.7483027198347347
50.5,6.419184112216521,3,-3.419184112216521
51.0,6.106116808776899,3,-3.106116808776899
51.5,5.8083179782541885,2,-3.8083179782541885
52.0,5.525042968070916,2,-3.525042968070916
52.5,5.255583442940834,2,-3.255583442940834
53.0,4.9992656137854405,2,-2.9992656137854405
53.5,4.755448552485949,2,-2.755448552485949
54.0,4.52352258961518,2,-2.5235225896151796
54.5,4.302907789665858,2,-2.3029077896658583
55.0,4.093052500705192,2,-2.093052500705192
55.5,3.8934319748465827,2,-1.8934319748465827
56.0,3.703547056819892,2,-1.7035470568198918
56.5,3.522922935381741,2,-1.5229229353817408
57.0,3.3511079561959685,2,-1.3511079561959685
57.5,3.187672492500352,1,-2.187672492500352
58.0,3.032207870621983,1,-2.032207870621983
58.5,2.8843253479404583,1,-1.8843253479404583
59.0,2.743655140859338,1,-1.743655140859338
59.5,2.609845500681833,1,-1.6098455006818329
60.0,2.482561833548166,1,-1.482561833548166
60.5,2.361485864080691,1,-1.361485864080691
61.0,2.2463148394219883,1,-1.2463148394219883
61.5,2.136760772062199,1,-1.1367607720621988
62.0,2.032549719625136,1,-1.0325497196251359
62.5,1.933421100099128,1,-0.9334211000991279
63.0,1.8391270403393298,1,-0.8391270403393298
63.5,1.7494317560688875,1,-0.7494317560688875
64.0,1.664110962452456,1,-0.6641109624524559
64.5,1.5829513131451995,0,-1.5829513131451995
65.0,1.505749866724701,0,-1.505749866724701
65.5,1.4323135792105053,0,-1.4323135792105053
66.0,1.3624588216688693,0,-1.3624588216688693
66.5,1.296010920789141,0,-1.296010920789141
67.0,1.2328037222547648,0,-1.2328037222547648
67.5,1.172679175224314,0,-1.172679175224314
68.0,1.115486937037291,0,-1.115486937037291
68.5,1.0610839972166244,0,-1.0610839972166244
69.0,1.0093343200365739,0,-1.0093343200365739
69.5,0.9601085043543404,0,-0.9601085043543404
70.0,0.913283459997448,0,-0.913283459997448
70.5,0.8687421000269461,0,-0.8687421000269461
71.0,0.8263730478816267,0,-0.8263730478816267
71.5,0.7860703588191347,0,-0.7860703588191347
72.0,0.7477332550511655,0,-0.7477332550511655
