time,S,I,R
0.0328,5.2814135578237265,992.9740827214619,1.744503720714187
0.033,4.975902076739946,993.2597318341979,1.7643660890619324
0.0332,4.687985528407922,993.5277804789274,1.7842339926643245
0.0334,4.416659646792145,993.779233263553,1.8041070896545344
0.0336,4.160976449857703,994.0150384924523,1.8239850576896648
0.0338,3.9200412031617726,994.2360912039825,1.8438675928553108
0.034,3.693009533737154,994.4432360576332,1.8637544086293565
0.0342,3.4790846884147166,994.6372700766829,1.8836452349020583
0.0344,3.2775149307599993,994.81894525219,1.9035398170495905
0.0346,3.0875910708591805,994.9889710140822,1.9234379150583247
0.0348,2.908644122275113,995.1480165750273,1.943339302697257
0.035,2.740043080601707,995.2967131526619,1.96324376673608
0.0352,2.5811928181695256,995.4356560756237,1.9831511062065328
0.0354,2.4315320895922405,995.5654067787027,2.003061131704752
0.0356,2.2905316430051132,995.6864946922622,2.0229736647324645
0.0358,2.1576924319844633,995.7994190309403,2.042888537074946
0.036,2.0325439233160307,995.9046504864699,2.0628055902137934
0.0362,1.914642495948811,996.0026328292784,2.082724674772629
0.0364,1.8035699266371505,996.0937844233687,2.1026456499939634
0.0366,1.6989319579476385,996.1784996588066,2.122568383245528
0.0368,1.6003569444791985,996.2571503059661,2.1424927495544646
0.037,1.5074945733152822,996.3300867955168,2.162418631167852
0.0372,1.4200146548954924,996.3976394279662,2.1823459171381203
0.0374,1.3376059806595688,996.4601195164083,2.202274502931987
0.0376,1.2599752439787726,996.5178204659594,2.222204290061601
0.0378,1.1868460210479073,996.5710187932152,2.242135185736679
0.038,1.117957808565191,996.6199750888982,2.262067102536453
0.0382,1.0530651151765322,996.664934926723,2.2819999581003265
0.0384,0.9919366038053282,996.7061297213584,2.301933674836198
0.0386,0.9343542821285679,996.7437775382258,2.3218681796454574
0.0388,0.8801127385946325,996.7780838577414,2.3418034036637136
0.039,0.8290184215076813,996.8092422964758,2.361739282016379
0.0392,0.7808889588280281,996.8374352875835,2.3816757535882633
0.0394,0.7355525164572383,996.8628347227361,2.4016127608063838
0.0396,0.6928471928910722,996.8856025576735,2.4215502494352528
0.0398,0.6526204482328815,996.905891383383,2.4414881683839247
0.04,0.6147285656646233,996.9238449648111,2.461426469524142
0.0402,0.5790361435726048,996.9395987489083,2.4813651075189447
0.0404,0.5454156166203175,996.9532803437185,2.5013040396611457
0.0406,0.5137468041515582,996.9650099701273,2.521243225721119
0.0408,0.4839164843935397,996.9749008878031,2.541182627803352
0.041,0.45581799301197884,996.9830597967767,2.561122210211282
0.0412,0.42935084464844864,996.9895872160316,2.581061939319921
0.0414,0.40442037614466764,996.9945778403995,2.601001783455845
0.0416,0.380937410229061,996.998120876987,2.620941712784103
0.0418,0.3588179385080001,997.0003003622904,2.6408816992016675
0.042,0.337982822667783,997.0011954610952,2.660821716237041
0.0422,0.3183575128537711,997.0008807481906,2.6807617389556637
0.0424,0.29987178225030464,996.999426473879,2.7007017438707996
0.0426,0.28245947693991397,996.9968988142007,2.7206417088595702
0.0428,0.2660582801709712,996.9933601067453,2.740581613083853
0.043,0.25060949020637746,996.988869072878,2.7605214369157554
0.0432,0.23605781098686732,996.9834810271458,2.780461161867404
0.0434,0.222351154869878,996.9772480746053,2.800400770524803
0.0436,0.2094404567538169,996.9702192967607,2.82034024648552
0.0438,0.19727949893548408,996.9624409267647,2.8402795742999882
0.044,0.18582474608505126,996.9539565144988,2.8602187394162026
0.0442,0.17503518975782906,996.9448070821146,2.8801577281276285
0.0444,0.16487220189495708,996.935031270581,2.9000965275241226
0.0446,0.15529939679623456,996.9246654777583,2.9200351254457093
0.0448,0.14628250107768834,996.9137439884834,2.939973510439028
0.045,0.13778923115420094,996.9022990971297,2.9599116717163136
0.0452,0.129789177813714,996.8903612230697,2.9798495991167515
0.0454,0.12225369747424872,996.877959019456,2.999787283070076
0.0456,0.11515580973832601,996.8651194756997,3.019724714562279
0.0458,0.10847010088138774,996.8518680140155,3.0396618851033157
0.046,0.1021726329316187,996.838228580372,3.0595987866966734
0.0462,0.09624085802080659,996.8242237301688,3.079535411810714
0.0464,0.09065353770824448,996.8098747089404,3.099471753351682
0.0466,0.08539066695572804,996.7952015284062,3.1194078046382687
0.0468,0.08043340253479468,996.7802230380877,3.139343559377662
0.047,0.07576399557881237,996.7649569927784,3.159279011642985
0.0472,0.07136572804481693,996.7494201161034,3.179214155852043
0.0474,0.0672228528601739,996.7336281603926,3.199148986747303
0.0476,0.06332053754047379,996.7175959630827,3.2190834993770414
0.0478,0.05964481107732024,996.7013374998452,3.2390176890775724
0.048,0.05618251391476396,996.6848659346288,3.258951551456528
0.0482,0.05292125084107784,996.6681936667819,3.2788850823771005
0.0484,0.049849346580761296,996.6513323754762,3.298818277943192
0.0486,0.04695580399768911,996.634293061517,3.318751134485439
0.0488,0.04423026470599988,996.6170860867461,3.338683648548045
0.049,0.04166297196336397,996.5997212111604,3.358615816876366
0.0492,0.039244735716588736,996.5822076278782,3.3785476364052296
0.0494,0.03696689971147021,996.5645539960407,3.398479104247938
0.0496,0.034821310476236496,996.5467684718379,3.4184102176858926
0.0498,0.03280028812834887,996.5288587377129,3.43834097415884
0.05,0.03089659886009052,996.5108320298843,3.4582713712556687
0.0502,0.02910342900606193,996.4926951642882,3.478201406705742
0.0504,0.027414360653431467,996.4744545609758,3.498131078370741
0.0506,0.025823348664381802,996.4561162670987,3.5180603842369864
0.0508,0.02432469902598739,996.4376859785658,3.5379893224081966
0.051,0.022913048442268887,996.419169060459,3.557917891098669
0.0512,0.021583345094578897,996.4005705662786,3.577846088626844
0.0514,0.02033083059107364,996.3818952559997,3.5977739134092737
