philosophers,left_rate,replication,variant,deadlock,stop_time,events,meals,fairness
3,3.0,4,С арбитром,false,49.75011994792437,75,24,0.8888888888888888
3,3.0,5,Классическая,true,0.7390230028132777,3,0,0.0
3,3.0,5,С арбитром,false,49.97819258125606,101,33,0.9628647214854111
3,3.0,6,Классическая,true,0.6069854724498663,3,0,0.0
3,3.0,6,С арбитром,false,48.90516120243709,81,26,0.9234972677595629
3,3.0,7,Классическая,true,1.378959943463659,9,2,0.6666666666666666
3,3.0,7,С арбитром,false,48.94169045725314,86,28,0.9679012345679012
3,3.0,8,Классическая,true,0.3878142015484965,3,0,0.0
3,3.0,8,С арбитром,false,49.61777506743933,83,27,0.9681274900398407
3,3.0,9,Классическая,true,0.731387748644893,3,0,0.0
3,3.0,9,С арбитром,false,49.796263310198945,96,31,0.9393939393939394
3,3.0,10,Классическая,true,0.871320261572964,3,0,0.0
3,3.0,10,С арбитром,false,49.37426611451363,87,28,0.98989898989899
3,3.0,11,Классическая,true,0.1720035165312056,3,0,0.0
3,3.0,11,С арбитром,false,49.605051526942226,99,32,0.9752380952380952
3,3.0,12,Классическая,true,0.5954321098346921,3,0,0.0
3,3.0,12,С арбитром,false,48.06205392309018,86,28,0.98989898989899
3,3.0,13,Классическая,true,0.07408527055019055,3,0,0.0
3,3.0,13,С арбитром,false,49.98022915481105,66,21,0.7945945945945946
3,3.0,14,Классическая,true,1.473654326045481,6,1,0.3333333333333333
3,3.0,14,С арбитром,false,49.03332176530193,90,29,0.8899470899470899
3,3.0,15,Классическая,true,0.9937613143766971,3,0,0.0
3,3.0,15,С арбитром,false,49.02784968756312,84,27,0.9455252918287937
3,3.0,16,Классическая,true,0.4749448574939943,3,0,0.0
3,3.0,16,С арбитром,false,49.74660387873738,98,32,0.9225225225225225
3,3.0,17,Классическая,true,0.23188050065829863,3,0,0.0
3,3.0,17,С арбитром,false,48.97692898324481,84,27,0.9759036144578314
3,3.0,18,Классическая,true,1.009951550787714,3,0,0.0
3,3.0,18,С арбитром,false,49.83752289246305,101,33,1.0
3,3.0,19,Классическая,true,0.3959804323260844,3,0,0.0
3,3.0,19,С арбитром,false,49.70672355369307,69,22,0.9718875502008032
3,3.0,20,Классическая,true,0.3898141782060014,3,0,0.0
3,3.0,20,С арбитром,false,49.700312841606596,77,25,0.8644536652835408
4,1.0,1,Классическая,true,6.765521621225449,16,4,0.5
4,1.0,1,С арбитром,false,49.960185705911606,92,30,0.9297520661157025
4,1.0,2,Классическая,true,3.4197553355657124,10,2,0.25
4,1.0,2,С арбитром,false,49.81080237148182,100,32,0.9922480620155039
4,1.0,3,Классическая,true,3.5976720418988246,16,4,1.0
4,1.0,3,С арбитром,false,49.957497148827585,96,31,0.8611111111111112
4,1.0,4,Классическая,true,7.02193864246292,13,3,0.45
4,1.0,4,С арбитром,false,49.97218078742907,110,36,0.9818181818181818
4,1.0,5,Классическая,true,4.703143955926136,7,1,0.25
4,1.0,5,С арбитром,false,49.36524258361518,94,30,0.995575221238938
4,1.0,6,Классическая,true,4.703379471437708,16,4,0.6666666666666666
4,1.0,6,С арбитром,false,49.82278616047532,94,31,0.9276061776061776
4,1.0,7,Классическая,true,1.3156937856600446,7,1,0.25
4,1.0,7,С арбитром,false,48.29900996952585,93,30,0.9453781512605042
4,1.0,8,Классическая,true,8.819398363910988,22,6,0.75
4,1.0,8,С арбитром,false,49.84128639484589,79,25,0.8445945945945946
4,1.0,9,Классическая,true,1.6261151050831386,4,0,0.0
4,1.0,9,С арбитром,false,48.60176010875108,132,43,0.9491786447638604
4,1.0,10,Классическая,true,2.175486341655112,7,1,0.25
4,1.0,10,С арбитром,false,49.42353792045554,71,23,0.9379432624113475
4,1.0,11,Классическая,true,6.646045087758168,19,5,0.36764705882352944
4,1.0,11,С арбитром,false,49.702138748768945,81,26,0.9712643678160919
4,1.0,12,Классическая,true,1.2138192892436164,7,1,0.25
4,1.0,12,С арбитром,false,49.69495979307898,87,28,0.8828828828828829
4,1.0,13,Классическая,true,1.1443367892969034,4,0,0.0
4,1.0,13,С арбитром,false,49.55493878773764,91,29,0.9428251121076233
4,1.0,14,Классическая,true,3.5915384778732253,7,1,0.25
4,1.0,14,С арбитром,false,49.642812369497385,93,30,0.9782608695652174
4,1.0,15,Классическая,true,9.120792228023426,25,7,0.8166666666666667
4,1.0,15,С арбитром,false,49.92033773656968,75,24,0.935064935064935
4,1.0,16,Классическая,true,3.4914287075916532,7,1,0.25
4,1.0,16,С арбитром,false,49.73176476364674,81,26,0.949438202247191
4,1.0,17,Классическая,true,0.6066371969812792,4,0,0.0
4,1.0,17,С арбитром,false,49.91022691420666,80,26,0.949438202247191
4,1.0,18,Классическая,true,4.017566477608446,16,4,0.6666666666666666
4,1.0,18,С арбитром,false,49.377835552199805,64,20,0.9615384615384616
4,1.0,19,Классическая,true,2.470314425229053,7,1,0.25
4,1.0,19,С арбитром,false,49.70909069796268,99,32,0.9846153846153847
4,1.0,20,Классическая,true,10.189005782998633,19,5,0.8928571428571429
4,1.0,20,С арбитром,false,47.79232742916759,78,25,0.9827044025157232
4,1.5,1,Классическая,true,6.045864145504961,16,4,0.6666666666666666
4,1.5,1,С арбитром,false,49.95750884570957,73,23,0.9514388489208633
4,1.5,2,Классическая,true,0.9659049431095008,4,0,0.0
4,1.5,2,С арбитром,false,49.63483934773071,103,33,0.9972527472527473
4,1.5,3,Классическая,true,0.46244170898209525,4,0,0.0
4,1.5,3,С арбитром,false,49.791867607566324,114,37,0.9428374655647382
4,1.5,4,Классическая,true,1.0703406132339643,4,0,0.0
4,1.5,4,С арбитром,false,49.90370871835584,91,29,0.8581632653061224
4,1.5,5,Классическая,true,3.747311501240861,10,2,0.5
4,1.5,5,С арбитром,false,49.256524105747864,90,29,0.9428251121076233
4,1.5,6,Классическая,true,2.037271117431712,7,1,0.25
4,1.5,6,С арбитром,false,49.96446400047586,80,26,0.9712643678160919
4,1.5,7,Классическая,true,3.687438477657819,10,2,0.25
4,1.5,7,С арбитром,false,47.27734601314908,105,34,0.9444444444444444
4,1.5,8,Классическая,true,2.027589517642997,7,1,0.25
4,1.5,8,С арбитром,false,48.67870088568877,74,24,0.9
4,1.5,9,Классическая,true,3.6593384958106707,10,2,0.5
4,1.5,9,С арбитром,false,48.991547530077305,93,30,0.9782608695652174
4,1.5,10,Классическая,true,3.507964419887082,10,2,0.5
4,1.5,10,С арбитром,false,49.69444878660138,88,28,0.98
4,1.5,11,Классическая,true,0.2526219979104696,4,0,0.0
4,1.5,11,С арбитром,false,49.14765932785858,93,30,0.9868421052631579
4,1.5,12,Классическая,true,5.674391574875621,19,5,0.8928571428571429
4,1.5,12,С арбитром,false,49.77449569992122,87,28,0.8990825688073395
4,1.5,13,Классическая,true,0.9590625236072796,4,0,0.0
4,1.5,13,С арбитром,false,49.74521940330083,79,25,0.882768361581921
4,1.5,14,Классическая,true,1.3951207635557261,7,1,0.25
4,1.5,14,С арбитром,false,49.26826734670352,97,31,0.899812734082397
4,1.5,15,Классическая,true,1.6230061494216743,4,0,0.0
4,1.5,15,С арбитром,false,49.05250774656642,81,26,0.898936170212766
4,1.5,16,Классическая,true,1.059842414202481,4,0,0.0
4,1.5,16,С арбитром,false,49.85057166169726,76,25,0.9356287425149701
4,1.5,17,Классическая,true,0.4766544710350524,4,0,0.0
4,1.5,17,С арбитром,false,49.2878172169683,75,24,0.8888888888888888
4,1.5,18,Классическая,true,0.7387103591378665,4,0,0.0
4,1.5,18,С арбитром,false,49.00254152732428,90,29,0.9428251121076233
4,1.5,19,Классическая,true,2.4677236603354884,10,2,0.5
4,1.5,19,С арбитром,false,49.63946468577394,99,32,0.8707482993197279
4,1.5,20,Классическая,true,1.0635236689709073,7,1,0.25
4,1.5,20,С арбитром,false,48.192708054060326,93,30,0.9615384615384616
4,2.0,1,Классическая,true,2.339084766143615,10,2,0.5
4,2.0,1,С арбитром,false,49.737376894281034,72,23,0.9379432624113475
4,2.0,2,Классическая,true,3.0797217275483053,7,1,0.25
4,2.0,2,С арбитром,false,48.63519825257759,87,28,0.9158878504672897
