time,black,white,temperature,luminosity,albedo
315,458,441,20.9847093447944,1.0,0.49516666666666664
316,461,439,20.93716708402409,1.0,0.4938888888888889
317,468,431,21.08160576988187,1.0,0.4896111111111111
318,476,420,21.489733163515954,1.0,0.48400000000000004
319,484,412,22.043570113093804,1.0,0.4795555555555555
320,490,408,22.537965214204693,1.0,0.47700000000000004
321,495,402,22.9748351547868,1.0,0.47383333333333333
322,496,401,23.440948537541438,1.0,0.4732777777777777
323,494,403,23.66817045257947,1.0,0.4743888888888889
324,495,403,23.822988527908144,1.0,0.4742222222222222
325,491,405,23.84564310993452,1.0,0.4756666666666667
326,490,408,23.711974511311706,1.0,0.4769999999999999
327,492,405,23.77756975439163,1.0,0.47550000000000003
328,510,389,24.31896419321457,1.0,0.46627777777777774
329,519,379,24.907185431079455,1.0,0.4608888888888889
330,521,377,25.506453531713223,1.0,0.4597777777777778
331,524,375,25.803536459587235,1.0,0.45849999999999996
332,522,377,25.955801066363488,1.0,0.4596111111111111
333,518,382,25.974759340268037,1.0,0.4622222222222222
334,512,385,25.85837473301554,1.0,0.46438888888888885
335,511,386,25.774893255389873,1.0,0.46494444444444444
336,506,392,25.46695020858721,1.0,0.46811111111111103
337,506,393,25.260357394443858,1.0,0.46849999999999997
338,499,399,24.935683173713223,1.0,0.472
339,495,403,24.593869963589835,1.0,0.47422222222222216
340,492,407,24.30771922338494,1.0,0.47627777777777774
341,494,405,24.0901893563725,1.0,0.4751666666666666
342,488,410,23.841280019228837,1.0,0.47811111111111104
343,482,416,23.521572181324316,1.0,0.4814444444444444
344,476,421,23.13502469509551,1.0,0.4843888888888888
345,473,420,22.855566252374448,1.0,0.4844999999999999
346,466,428,22.483661765009415,1.0,0.48877777777777764
347,470,426,22.28157366940938,1.0,0.48733333333333323
348,476,422,22.32589849472595,1.0,0.48477777777777775
349,486,413,22.553603263163108,1.0,0.4796111111111111
350,494,405,22.91759420508357,1.0,0.4751666666666666
351,497,401,23.334517168488457,1.0,0.47311111111111104
352,504,393,23.822147416895792,1.0,0.4688333333333333
353,496,398,23.991107622164932,1.0,0.47211111111111104
354,493,403,23.971838552843327,1.0,0.47455555555555545
355,499,396,24.230878191044766,1.0,0.4708333333333332
356,499,400,24.27723514784697,1.0,0.47238888888888886
357,500,398,24.333451274677465,1.0,0.4714444444444444
358,499,398,24.41664640389048,1.0,0.47161111111111104
359,494,404,24.270376350646686,1.0,0.47477777777777774
360,494,403,24.16479051758944,1.0,0.47438888888888886
361,497,398,24.299076949644764,1.0,0.4719444444444444
362,499,398,24.299949373957812,1.0,0.4716111111111111
363,503,394,24.457229604477664,1.0,0.46938888888888886
364,500,398,24.47961917572997,1.0,0.4714444444444444
365,507,391,24.63729977159677,1.0,0.46755555555555556
366,500,398,24.51632942477647,1.0,0.47144444444444444
367,496,402,24.458204727415556,1.0,0.4736666666666667
368,491,406,24.198096576016425,1.0,0.4760555555555556
369,487,410,23.95828060498025,1.0,0.4782777777777778
370,485,414,23.731430052156885,1.0,0.48016666666666663
371,492,407,23.672122080912317,1.0,0.47627777777777774
372,491,406,23.644449407844508,1.0,0.47605555555555545
373,489,411,23.54685143777267,1.0,0.47833333333333333
374,480,419,23.17039125684711,1.0,0.4829444444444444
375,472,426,22.79024455872494,1.0,0.48699999999999993
376,473,423,22.548782624871077,1.0,0.4856666666666666
377,473,423,22.410947388516366,1.0,0.48566666666666664
378,475,423,22.374257449573932,1.0,0.4853333333333333
379,469,428,22.174691896139887,1.0,0.4882777777777777
380,469,429,21.988893981988785,1.0,0.48866666666666664
381,480,419,22.15038880609194,1.0,0.4829444444444444
382,484,415,22.41816720630006,1.0,0.4807222222222222
383,493,406,22.827441576294433,1.0,0.4757222222222222
384,509,388,23.594735165275438,1.0,0.4660555555555555
385,510,386,24.197314898625695,1.0,0.46511111111111103
386,511,387,24.651631848417804,1.0,0.46533333333333327
387,512,385,24.946628436734986,1.0,0.46438888888888885
388,510,383,25.15383721880862,1.0,0.4639444444444444
389,508,388,25.250025577935027,1.0,0.4662222222222222
390,497,399,25.044722540500963,1.0,0.4723333333333334
391,498,398,24.81743204146161,1.0,0.4717777777777778
392,498,399,24.656511305647747,1.0,0.4721666666666667
393,501,399,24.622270137696802,1.0,0.4716666666666667
394,500,396,24.57821689653577,1.0,0.4706666666666667
395,503,394,24.717130430291295,1.0,0.46938888888888886
396,503,394,24.688823001265078,1.0,0.46938888888888886
397,501,396,24.658686663865407,1.0,0.47050000000000003
398,503,393,24.741818636819573,1.0,0.46900000000000003
399,498,394,24.738762317318464,1.0,0.4702222222222222
400,504,394,24.734878900563487,1.0,0.4692222222222222
401,498,401,24.62511758644899,1.0,0.47294444444444445
402,489,405,24.359381356483553,1.0,0.476
403,494,406,24.169472340405637,1.0,0.47555555555555556
404,499,398,24.229908130719625,1.0,0.47161111111111115
405,499,401,24.22740923334297,1.0,0.4727777777777778
406,490,402,24.17291595362086,1.0,0.47466666666666657
407,489,406,23.986315385385552,1.0,0.47638888888888886
408,483,412,23.67990853934389,1.0,0.4797222222222222
409,469,425,23.154788450046304,1.0,0.48711111111111105
410,471,425,22.752009542093308,1.0,0.4867777777777777
411,476,421,22.66902553683242,1.0,0.4843888888888888
412,474,424,22.452555385419792,1.0,0.4858888888888888
413,476,422,22.38509421842636,1.0,0.4847777777777778
414,487,412,22.683084439309265,1.0,0.4790555555555555
415,494,404,23.049876142521928,1.0,0.47477777777777774
416,500,400,23.470132965373942,1.0,0.4722222222222222
417,506,394,23.952062129486816,1.0,0.4688888888888889
418,507,392,24.335182626676914,1.0,0.46794444444444444
419,504,393,24.493596730283677,1.0,0.46883333333333327
420,507,392,24.673191141989715,1.0,0.46794444444444444
421,503,396,24.69829480969006,1.0,0.4701666666666666
422,504,396,24.64154482598262,1.0,0.47
423,496,401,24.57732791114631,1.0,0.47327777777777785
424,499,398,24.544365813041157,1.0,0.47161111111111115
425,500,398,24.483540602414994,1.0,0.47144444444444444
426,501,397,24.48500942726767,1.0,0.4708888888888889
427,501,397,24.499959377003115,1.0,0.4708888888888889
428,493,404,24.31913377803548,1.0,0.47494444444444445
429,489,410,24.053499395866133,1.0,0.4779444444444444
430,489,409,23.98852995978664,1.0,0.47755555555555557
431,482,415,23.657957728415912,1.0,0.4810555555555556
432,479,418,23.387565753611064,1.0,0.4827222222222223
433,477,421,23.075867813545113,1.0,0.4842222222222222
434,484,416,22.98572017234526,1.0,0.4811111111111111
435,482,417,22.917424587697855,1.0,0.48183333333333334
436,478,421,22.81767335321694,1.0,0.4840555555555555
437,481,419,22.72226686747365,1.0,0.48277777777777775
438,479,419,22.66404302101502,1.0,0.48311111111111105
439,474,424,22.451471175788367,1.0,0.4858888888888888
440,476,421,22.493250162242685,1.0,0.4843888888888888
441,472,424,22.374475814686146,1.0,0.48622222222222217
442,473,425,22.31329070311893,1.0,0.4864444444444444
443,480,417,22.465940475229367,1.0,0.4821666666666666
444,485,413,22.716149544719865,1.0,0.47977777777777775
445,483,414,22.838204100540075,1.0,0.4805
446,491,407,23.07311410683364,1.0,0.4764444444444444
447,496,402,23.40175749292088,1.0,0.4736666666666666
448,500,398,23.72203824604275,1.0,0.47144444444444444
449,499,399,23.945543364804166,1.0,0.47200000000000003
450,495,404,24.074159848827172,1.0,0.4746111111111111
451,495,401,24.080720798747922,1.0,0.47344444444444445
452,503,393,24.266088220412406,1.0,0.469
453,513,382,24.776079190657043,1.0,0.46305555555555544
454,514,382,25.179078886758408,1.0,0.4628888888888888
455,518,381,25.469100786716744,1.0,0.4618333333333333
456,523,375,25.78818178745872,1.0,0.4586666666666666
457,521,377,26.01783872438898,1.0,0.45977777777777773
458,517,382,25.93620733355893,1.0,0.46238888888888885
459,508,392,25.618663808956068,1.0,0.4677777777777778
460,505,394,25.34833162333406,1.0,0.4690555555555555
461,503,393,25.21808032089546,1.0,0.4689999999999999
462,500,398,24.942635396001442,1.0,0.4714444444444444
463,494,405,24.55865483528637,1.0,0.4751666666666666
464,493,403,24.346149771102223,1.0,0.4745555555555555
465,490,404,24.169752361488452,1.0,0.4754444444444444
466,486,411,23.90102870996368,1.0,0.47883333333333333
467,480,415,23.668557186364296,1.0,0.48138888888888887
468,467,426,23.035582173694383,1.0,0.4878333333333333
469,468,424,22.74721948640922,1.0,0.48688888888888887
470,471,420,22.689794092119335,1.0,0.4848333333333333
471,471,423,22.473351954408656,1.0,0.48600000000000004
472,470,426,22.31374774407331,1.0,0.48733333333333334
473,478,418,22.35355391601981,1.0,0.4828888888888889
474,479,415,22.5507863405862,1.0,0.4815555555555555
475,489,408,22.8719160515814,1.0,0.47716666666666663
476,489,409,23.03859468525328,1.0,0.4775555555555555
