experiment,replication,seed,N,S,repairers,failure_mean,repair_mean,crash_time,mean_queue,utilization,area_queue,area_busy,final_healthy,final_broken
3,136,713136,20,3,1,100.0,1.0,722.5440597886156,0.058763312776958114,0.2144474144906636,42.45908258049155,154.94770547725608,19,4
3,137,713137,20,3,1,100.0,1.0,1920.4195650729087,0.03629426021333938,0.18235642367862404,69.70020741354419,350.20084384915424,19,4
3,138,713138,20,3,1,100.0,1.0,115.29101577716227,0.05327668972229014,0.2258898786316483,6.142323675327532,26.043073561222634,19,4
3,139,713139,20,3,1,100.0,1.0,879.3750326864516,0.038389940265519236,0.2027163145370411,33.7591549758219,178.26366572208752,19,4
3,140,713140,20,3,1,100.0,1.0,1986.820263910642,0.0279156239446278,0.19495752851156026,55.463327332895645,387.3455682487047,19,4
3,141,713141,20,3,1,100.0,1.0,513.5825212946263,0.06279123747661255,0.21308966271447197,32.2484820584483,109.43912623872004,19,4
3,142,713142,20,3,1,100.0,1.0,105.67018781101181,0.05114534355774165,0.1805620433851264,5.404538059405283,19.080025036046372,19,4
3,143,713143,20,3,1,100.0,1.0,2220.2712424953206,0.026077253830739732,0.1769612863189396,57.89857676364237,392.9020550489222,19,4
3,144,713144,20,3,1,100.0,1.0,594.0303640935766,0.025934019279828795,0.2212526026069941,15.405594915206535,131.43076408328412,19,4
3,145,713145,20,3,1,100.0,1.0,182.71222091988267,0.029754474144165006,0.215002396812892,5.436506053183614,39.2835654247814,19,4
3,146,713146,20,3,1,100.0,1.0,343.69374687968445,0.032771433390579884,0.2217420188948717,11.263336732626403,76.21134531464423,19,4
3,147,713147,20,3,1,100.0,1.0,251.32232986448875,0.03194338422711369,0.2025973127405515,8.028085747714773,50.91722866223988,19,4
3,148,713148,20,3,1,100.0,1.0,412.69088644676003,0.04149122969999289,0.19713995157971093,17.123052364656203,81.35786137150225,19,4
3,149,713149,20,3,1,100.0,1.0,1008.2705667289098,0.04562612593180833,0.18247760207150587,46.00347985090899,183.9867952559697,19,4
3,150,713150,20,3,1,100.0,1.0,1329.0390756247257,0.030960696270386136,0.17682299600965512,41.147975151891885,235.0046711658666,19,4
3,151,713151,20,3,1,100.0,1.0,279.6389110546999,0.036030062965201094,0.19567735403469605,10.075407572821106,54.719002200327395,19,4
