run,time,event,machine,healthy,working,spares,broken,busy,queue
1,404.6834600709094,repair_complete,8,13,10,3,0,0,0
1,422.99325160297957,failure,10,12,10,2,1,0,1
1,422.99325160297957,repair_start,10,12,10,2,1,1,0
1,425.6872624562288,repair_complete,10,13,10,3,0,0,0
1,440.7163902881212,failure,7,12,10,2,1,0,1
1,440.7163902881212,repair_start,7,12,10,2,1,1,0
1,440.8459946446986,repair_complete,7,13,10,3,0,0,0
1,461.73966196065555,failure,5,12,10,2,1,0,1
1,461.73966196065555,repair_start,5,12,10,2,1,1,0
1,462.5123829944385,repair_complete,5,13,10,3,0,0,0
1,475.1636709649338,failure,4,12,10,2,1,0,1
1,475.1636709649338,repair_start,4,12,10,2,1,1,0
1,477.5859029140278,repair_complete,4,13,10,3,0,0,0
1,488.3885981662533,failure,9,12,10,2,1,0,1
1,488.3885981662533,repair_start,9,12,10,2,1,1,0
1,489.1451142429636,repair_complete,9,13,10,3,0,0,0
1,490.19537875813535,failure,6,12,10,2,1,0,1
1,490.19537875813535,repair_start,6,12,10,2,1,1,0
1,492.05314544773677,failure,7,11,10,1,2,1,1
1,494.04892508110964,repair_complete,6,12,10,2,1,0,1
1,494.04892508110964,repair_start,7,12,10,2,1,1,0
1,494.18357886344234,failure,13,11,10,1,2,1,1
1,494.54618763066685,repair_complete,7,12,10,2,1,0,1
1,494.54618763066685,repair_start,13,12,10,2,1,1,0
1,495.89739014607676,repair_complete,13,13,10,3,0,0,0
1,500.047218708384,failure,10,12,10,2,1,0,1
1,500.047218708384,repair_start,10,12,10,2,1,1,0
1,500.4783786187751,repair_complete,10,13,10,3,0,0,0
1,521.1148087290143,failure,5,12,10,2,1,0,1
1,521.1148087290143,repair_start,5,12,10,2,1,1,0
1,523.9642422527843,repair_complete,5,13,10,3,0,0,0
1,531.337065652242,failure,12,12,10,2,1,0,1
1,531.337065652242,repair_start,12,12,10,2,1,1,0
1,532.370543596082,repair_complete,12,13,10,3,0,0,0
1,547.3990429988082,failure,9,12,10,2,1,0,1
1,547.3990429988082,repair_start,9,12,10,2,1,1,0
1,548.1132345474267,repair_complete,9,13,10,3,0,0,0
1,572.6233510646948,failure,2,12,10,2,1,0,1
1,572.6233510646948,repair_start,2,12,10,2,1,1,0
1,573.4580854394691,repair_complete,2,13,10,3,0,0,0
1,576.8659317782588,failure,6,12,10,2,1,0,1
1,576.8659317782588,repair_start,6,12,10,2,1,1,0
1,577.4720730022428,repair_complete,6,13,10,3,0,0,0
1,578.9460090806491,failure,5,12,10,2,1,0,1
1,578.9460090806491,repair_start,5,12,10,2,1,1,0
1,579.6978260152824,repair_complete,5,13,10,3,0,0,0
1,579.9150999570039,failure,4,12,10,2,1,0,1
1,579.9150999570039,repair_start,4,12,10,2,1,1,0
1,581.8225667981221,repair_complete,4,13,10,3,0,0,0
1,588.1667743170411,failure,12,12,10,2,1,0,1
1,588.1667743170411,repair_start,12,12,10,2,1,1,0
1,588.9315402658531,repair_complete,12,13,10,3,0,0,0
1,590.9722619606792,failure,3,12,10,2,1,0,1
1,590.9722619606792,repair_start,3,12,10,2,1,1,0
1,591.810264121836,repair_complete,3,13,10,3,0,0,0
1,593.4518872007492,failure,7,12,10,2,1,0,1
1,593.4518872007492,repair_start,7,12,10,2,1,1,0
1,593.7291721825932,repair_complete,7,13,10,3,0,0,0
1,594.7359862941536,failure,9,12,10,2,1,0,1
1,594.7359862941536,repair_start,9,12,10,2,1,1,0
1,595.5298629397712,repair_complete,9,13,10,3,0,0,0
1,600.894178092952,failure,8,12,10,2,1,0,1
1,600.894178092952,repair_start,8,12,10,2,1,1,0
1,601.5961176211525,repair_complete,8,13,10,3,0,0,0
1,620.3489949534536,failure,7,12,10,2,1,0,1
1,620.3489949534536,repair_start,7,12,10,2,1,1,0
1,621.2397810121072,repair_complete,7,13,10,3,0,0,0
1,668.0004277415285,failure,5,12,10,2,1,0,1
1,668.0004277415285,repair_start,5,12,10,2,1,1,0
1,668.5031740411179,failure,8,11,10,1,2,1,1
1,669.6315425151913,repair_complete,5,12,10,2,1,0,1
1,669.6315425151913,repair_start,8,12,10,2,1,1,0
1,670.763352107913,repair_complete,8,13,10,3,0,0,0
1,681.9173798533313,failure,9,12,10,2,1,0,1
1,681.9173798533313,repair_start,9,12,10,2,1,1,0
1,681.9460531822331,failure,1,11,10,1,2,1,1
1,682.1414328807746,repair_complete,9,12,10,2,1,0,1
1,682.1414328807746,repair_start,1,12,10,2,1,1,0
1,682.2414381038922,repair_complete,1,13,10,3,0,0,0
1,682.4167592480591,failure,10,12,10,2,1,0,1
1,682.4167592480591,repair_start,10,12,10,2,1,1,0
1,683.0041299289269,repair_complete,10,13,10,3,0,0,0
1,683.6732798292547,failure,6,12,10,2,1,0,1
1,683.6732798292547,repair_start,6,12,10,2,1,1,0
1,684.590166654954,repair_complete,6,13,10,3,0,0,0
1,745.4800822986246,failure,2,12,10,2,1,0,1
1,745.4800822986246,repair_start,2,12,10,2,1,1,0
1,745.9351721046268,repair_complete,2,13,10,3,0,0,0
1,751.0083362602848,failure,7,12,10,2,1,0,1
1,751.0083362602848,repair_start,7,12,10,2,1,1,0
1,753.3196064898218,repair_complete,7,13,10,3,0,0,0
1,755.8312638579648,failure,6,12,10,2,1,0,1
1,755.8312638579648,repair_start,6,12,10,2,1,1,0
1,756.1906919398547,repair_complete,6,13,10,3,0,0,0
1,761.4268466119785,failure,12,12,10,2,1,0,1
1,761.4268466119785,repair_start,12,12,10,2,1,1,0
1,765.7573354893096,repair_complete,12,13,10,3,0,0,0
1,784.8143795907058,failure,1,12,10,2,1,0,1
1,784.8143795907058,repair_start,1,12,10,2,1,1,0
1,785.33781306871,repair_complete,1,13,10,3,0,0,0
1,811.7782486165454,failure,12,12,10,2,1,0,1
1,811.7782486165454,repair_start,12,12,10,2,1,1,0
1,812.4258250571203,repair_complete,12,13,10,3,0,0,0
1,819.374645837534,failure,8,12,10,2,1,0,1
1,819.374645837534,repair_start,8,12,10,2,1,1,0
1,819.9392658172269,repair_complete,8,13,10,3,0,0,0
1,821.1442890874484,failure,3,12,10,2,1,0,1
1,821.1442890874484,repair_start,3,12,10,2,1,1,0
1,821.8132801631665,repair_complete,3,13,10,3,0,0,0
1,833.1668697573383,failure,12,12,10,2,1,0,1
1,833.1668697573383,repair_start,12,12,10,2,1,1,0
1,835.9279043269605,repair_complete,12,13,10,3,0,0,0
1,842.7910255346052,failure,4,12,10,2,1,0,1
1,842.7910255346052,repair_start,4,12,10,2,1,1,0
1,843.0350027153239,repair_complete,4,13,10,3,0,0,0
1,851.5208006672981,failure,8,12,10,2,1,0,1
1,851.5208006672981,repair_start,8,12,10,2,1,1,0
1,852.0034244357571,repair_complete,8,13,10,3,0,0,0
1,853.8747502871853,failure,13,12,10,2,1,0,1
1,853.8747502871853,repair_start,13,12,10,2,1,1,0
1,854.9651353954541,repair_complete,13,13,10,3,0,0,0
1,887.5136835233033,failure,12,12,10,2,1,0,1
1,887.5136835233033,repair_start,12,12,10,2,1,1,0
1,887.6096103246823,failure,1,11,10,1,2,1,1
1,888.9591989456195,repair_complete,12,12,10,2,1,0,1
1,888.9591989456195,repair_start,1,12,10,2,1,1,0
1,889.3453924427387,repair_complete,1,13,10,3,0,0,0
1,898.2052593748238,failure,4,12,10,2,1,0,1
1,898.2052593748238,repair_start,4,12,10,2,1,1,0
1,898.2870628640624,repair_complete,4,13,10,3,0,0,0
1,899.7959926252365,failure,2,12,10,2,1,0,1
1,899.7959926252365,repair_start,2,12,10,2,1,1,0
1,900.730624471443,repair_complete,2,13,10,3,0,0,0
1,926.2798208518008,failure,3,12,10,2,1,0,1
1,926.2798208518008,repair_start,3,12,10,2,1,1,0
1,926.7240430107739,repair_complete,3,13,10,3,0,0,0
1,934.9065967795872,failure,6,12,10,2,1,0,1
1,934.9065967795872,repair_start,6,12,10,2,1,1,0
1,934.9202130341151,repair_complete,6,13,10,3,0,0,0
1,941.323911744163,failure,4,12,10,2,1,0,1
1,941.323911744163,repair_start,4,12,10,2,1,1,0
1,942.3030253391127,repair_complete,4,13,10,3,0,0,0
1,948.597931302633,failure,12,12,10,2,1,0,1
1,948.597931302633,repair_start,12,12,10,2,1,1,0
1,948.7926346221311,repair_complete,12,13,10,3,0,0,0
1,971.0563933605836,failure,13,12,10,2,1,0,1
1,971.0563933605836,repair_start,13,12,10,2,1,1,0
1,971.3783346861773,repair_complete,13,13,10,3,0,0,0
1,979.2364209775255,failure,1,12,10,2,1,0,1
1,979.2364209775255,repair_start,1,12,10,2,1,1,0
1,980.3849797199243,repair_complete,1,13,10,3,0,0,0
1,998.3491245133582,failure,8,12,10,2,1,0,1
1,998.3491245133582,repair_start,8,12,10,2,1,1,0
1,998.4979372524142,repair_complete,8,13,10,3,0,0,0
1,1018.9197177527501,failure,12,12,10,2,1,0,1
1,1018.9197177527501,repair_start,12,12,10,2,1,1,0
1,1020.9929887001534,repair_complete,12,13,10,3,0,0,0
1,1030.2113419894295,failure,8,12,10,2,1,0,1
1,1030.2113419894295,repair_start,8,12,10,2,1,1,0
1,1031.0448723688964,repair_complete,8,13,10,3,0,0,0
1,1041.2140817202348,failure,13,12,10,2,1,0,1
1,1041.2140817202348,repair_start,13,12,10,2,1,1,0
1,1041.4576729454882,repair_complete,13,13,10,3,0,0,0
1,1041.6942740418735,failure,3,12,10,2,1,0,1
1,1041.6942740418735,repair_start,3,12,10,2,1,1,0
1,1042.0380059618303,repair_complete,3,13,10,3,0,0,0
1,1051.1229744011882,failure,8,12,10,2,1,0,1
1,1051.1229744011882,repair_start,8,12,10,2,1,1,0
1,1051.4431027094674,repair_complete,8,13,10,3,0,0,0
1,1063.368361874158,failure,7,12,10,2,1,0,1
1,1063.368361874158,repair_start,7,12,10,2,1,1,0
1,1063.6573879443026,repair_complete,7,13,10,3,0,0,0
1,1072.5640011798164,failure,13,12,10,2,1,0,1
1,1072.5640011798164,repair_start,13,12,10,2,1,1,0
1,1072.7035819456103,repair_complete,13,13,10,3,0,0,0
1,1085.7427653736645,failure,9,12,10,2,1,0,1
1,1085.7427653736645,repair_start,9,12,10,2,1,1,0
1,1086.608243069914,repair_complete,9,13,10,3,0,0,0
1,1090.331593676495,failure,1,12,10,2,1,0,1
1,1090.331593676495,repair_start,1,12,10,2,1,1,0
1,1090.5739370630706,repair_complete,1,13,10,3,0,0,0
1,1092.432921370097,failure,7,12,10,2,1,0,1
1,1092.432921370097,repair_start,7,12,10,2,1,1,0
1,1093.4144468953145,repair_complete,7,13,10,3,0,0,0
1,1101.49599691252,failure,9,12,10,2,1,0,1
1,1101.49599691252,repair_start,9,12,10,2,1,1,0
1,1103.9754321284406,repair_complete,9,13,10,3,0,0,0
1,1114.0695236360255,failure,13,12,10,2,1,0,1
1,1114.0695236360255,repair_start,13,12,10,2,1,1,0
1,1116.4211898771189,repair_complete,13,13,10,3,0,0,0
1,1140.060431417512,failure,12,12,10,2,1,0,1
1,1140.060431417512,repair_start,12,12,10,2,1,1,0
1,1141.9231376624955,repair_complete,12,13,10,3,0,0,0
1,1144.899568965555,failure,13,12,10,2,1,0,1
1,1144.899568965555,repair_start,13,12,10,2,1,1,0
1,1145.603329519143,repair_complete,13,13,10,3,0,0,0
1,1169.7437515961974,failure,5,12,10,2,1,0,1
1,1169.7437515961974,repair_start,5,12,10,2,1,1,0
1,1170.3600305564914,repair_complete,5,13,10,3,0,0,0
1,1172.8477762317982,failure,3,12,10,2,1,0,1
1,1172.8477762317982,repair_start,3,12,10,2,1,1,0
1,1175.467042614477,repair_complete,3,13,10,3,0,0,0
1,1176.5075679191064,failure,1,12,10,2,1,0,1
1,1176.5075679191064,repair_start,1,12,10,2,1,1,0
1,1176.6792517477834,repair_complete,1,13,10,3,0,0,0
1,1177.6231440374243,failure,5,12,10,2,1,0,1
1,1177.6231440374243,repair_start,5,12,10,2,1,1,0
1,1178.2141946537179,repair_complete,5,13,10,3,0,0,0
1,1179.9551598904077,failure,13,12,10,2,1,0,1
1,1179.9551598904077,repair_start,13,12,10,2,1,1,0
1,1180.1354059605255,repair_complete,13,13,10,3,0,0,0
1,1209.6222085567042,failure,1,12,10,2,1,0,1
1,1209.6222085567042,repair_start,1,12,10,2,1,1,0
1,1209.9178033856138,repair_complete,1,13,10,3,0,0,0
1,1225.6635001003401,failure,6,12,10,2,1,0,1
1,1225.6635001003401,repair_start,6,12,10,2,1,1,0
1,1226.416413621193,repair_complete,6,13,10,3,0,0,0
1,1227.7145948612065,failure,13,12,10,2,1,0,1
1,1227.7145948612065,repair_start,13,12,10,2,1,1,0
1,1228.7878323176037,repair_complete,13,13,10,3,0,0,0
1,1239.2103610782854,failure,12,12,10,2,1,0,1
1,1239.2103610782854,repair_start,12,12,10,2,1,1,0
1,1239.446726598851,repair_complete,12,13,10,3,0,0,0
1,1243.6933854717086,failure,9,12,10,2,1,0,1
1,1243.6933854717086,repair_start,9,12,10,2,1,1,0
1,1245.1807503159907,failure,6,11,10,1,2,1,1
1,1249.0443059971715,repair_complete,9,12,10,2,1,0,1
1,1249.0443059971715,repair_start,6,12,10,2,1,1,0
1,1249.247583736416,repair_complete,6,13,10,3,0,0,0
1,1254.0663641524895,failure,7,12,10,2,1,0,1
1,1254.0663641524895,repair_start,7,12,10,2,1,1,0
1,1254.860632255182,repair_complete,7,13,10,3,0,0,0
1,1273.3524001588853,failure,2,12,10,2,1,0,1
1,1273.3524001588853,repair_start,2,12,10,2,1,1,0
1,1274.2120239093208,repair_complete,2,13,10,3,0,0,0
1,1297.7774716109566,failure,9,12,10,2,1,0,1
1,1297.7774716109566,repair_start,9,12,10,2,1,1,0
1,1298.6015105135587,repair_complete,9,13,10,3,0,0,0
1,1308.8431645267622,failure,1,12,10,2,1,0,1
1,1308.8431645267622,repair_start,1,12,10,2,1,1,0
1,1309.1674229486187,repair_complete,1,13,10,3,0,0,0
1,1312.0960516544312,failure,7,12,10,2,1,0,1
1,1312.0960516544312,repair_start,7,12,10,2,1,1,0
1,1314.8131572710806,failure,6,11,10,1,2,1,1
1,1319.9312521125942,repair_complete,7,12,10,2,1,0,1
1,1319.9312521125942,repair_start,6,12,10,2,1,1,0
1,1319.9632760310565,repair_complete,6,13,10,3,0,0,0
1,1329.5539036908203,failure,1,12,10,2,1,0,1
1,1329.5539036908203,repair_start,1,12,10,2,1,1,0
1,1330.1320858340762,repair_complete,1,13,10,3,0,0,0
1,1332.4756524078025,failure,10,12,10,2,1,0,1
1,1332.4756524078025,repair_start,10,12,10,2,1,1,0
1,1332.4989738543438,repair_complete,10,13,10,3,0,0,0
1,1336.411982571927,failure,13,12,10,2,1,0,1
1,1336.411982571927,repair_start,13,12,10,2,1,1,0
1,1336.5353427132072,repair_complete,13,13,10,3,0,0,0
1,1337.5020158816847,failure,2,12,10,2,1,0,1
1,1337.5020158816847,repair_start,2,12,10,2,1,1,0
1,1338.2728363434126,repair_complete,2,13,10,3,0,0,0
1,1339.8879750165077,failure,10,12,10,2,1,0,1
1,1339.8879750165077,repair_start,10,12,10,2,1,1,0
1,1340.2532713140467,repair_complete,10,13,10,3,0,0,0
1,1347.3770194742197,failure,6,12,10,2,1,0,1
1,1347.3770194742197,repair_start,6,12,10,2,1,1,0
1,1348.3108456929,repair_complete,6,13,10,3,0,0,0
1,1352.5125564370537,failure,3,12,10,2,1,0,1
1,1352.5125564370537,repair_start,3,12,10,2,1,1,0
1,1352.5694813309597,repair_complete,3,13,10,3,0,0,0
1,1374.243813674705,failure,1,12,10,2,1,0,1
1,1374.243813674705,repair_start,1,12,10,2,1,1,0
1,1374.7869957166058,repair_complete,1,13,10,3,0,0,0
1,1383.584681486334,failure,5,12,10,2,1,0,1
1,1383.584681486334,repair_start,5,12,10,2,1,1,0
1,1384.307421217546,repair_complete,5,13,10,3,0,0,0
1,1395.441285007011,failure,4,12,10,2,1,0,1
1,1395.441285007011,repair_start,4,12,10,2,1,1,0
1,1399.6496975840328,repair_complete,4,13,10,3,0,0,0
1,1411.220366100836,failure,6,12,10,2,1,0,1
1,1411.220366100836,repair_start,6,12,10,2,1,1,0
1,1411.2822496672882,failure,10,11,10,1,2,1,1
1,1411.4975714925656,repair_complete,6,12,10,2,1,0,1
1,1411.4975714925656,repair_start,10,12,10,2,1,1,0
1,1411.9025357020598,repair_complete,10,13,10,3,0,0,0
1,1426.9314075189998,failure,3,12,10,2,1,0,1
1,1426.9314075189998,repair_start,3,12,10,2,1,1,0
1,1426.940909195071,failure,13,11,10,1,2,1,1
1,1427.7637789783244,repair_complete,3,12,10,2,1,0,1
1,1427.7637789783244,repair_start,13,12,10,2,1,1,0
1,1429.383167982939,repair_complete,13,13,10,3,0,0,0
1,1431.2678279448942,failure,8,12,10,2,1,0,1
1,1431.2678279448942,repair_start,8,12,10,2,1,1,0
1,1432.2011190836981,repair_complete,8,13,10,3,0,0,0
1,1438.2410099353472,failure,2,12,10,2,1,0,1
1,1438.2410099353472,repair_start,2,12,10,2,1,1,0
1,1438.291597287028,repair_complete,2,13,10,3,0,0,0
1,1450.2598835874037,failure,7,12,10,2,1,0,1
1,1450.2598835874037,repair_start,7,12,10,2,1,1,0
1,1450.4659981135642,repair_complete,7,13,10,3,0,0,0
1,1462.8512542067185,failure,8,12,10,2,1,0,1
1,1462.8512542067185,repair_start,8,12,10,2,1,1,0
1,1463.1477143128877,repair_complete,8,13,10,3,0,0,0
1,1466.5470996945553,failure,1,12,10,2,1,0,1
1,1466.5470996945553,repair_start,1,12,10,2,1,1,0
1,1467.7195211925932,repair_complete,1,13,10,3,0,0,0
1,1477.2134340045027,failure,10,12,10,2,1,0,1
1,1477.2134340045027,repair_start,10,12,10,2,1,1,0
1,1477.2243081493896,repair_complete,10,13,10,3,0,0,0
1,1502.7845201714968,failure,9,12,10,2,1,0,1
1,1502.7845201714968,repair_start,9,12,10,2,1,1,0
1,1504.3751844525386,repair_complete,9,13,10,3,0,0,0
1,1505.067768095984,failure,12,12,10,2,1,0,1
1,1505.067768095984,repair_start,12,12,10,2,1,1,0
1,1505.1789883126721,repair_complete,12,13,10,3,0,0,0
1,1513.5435195069188,failure,3,12,10,2,1,0,1
1,1513.5435195069188,repair_start,3,12,10,2,1,1,0
1,1513.6543166029292,repair_complete,3,13,10,3,0,0,0
1,1529.162857291755,failure,5,12,10,2,1,0,1
1,1529.162857291755,repair_start,5,12,10,2,1,1,0
1,1529.3663102683654,repair_complete,5,13,10,3,0,0,0
1,1530.6251489569336,failure,7,12,10,2,1,0,1
1,1530.6251489569336,repair_start,7,12,10,2,1,1,0
1,1531.1388118135026,repair_complete,7,13,10,3,0,0,0
1,1534.4767855537714,failure,3,12,10,2,1,0,1
1,1534.4767855537714,repair_start,3,12,10,2,1,1,0
1,1536.5205566011423,repair_complete,3,13,10,3,0,0,0
1,1565.067484598635,failure,4,12,10,2,1,0,1
1,1565.067484598635,repair_start,4,12,10,2,1,1,0
1,1566.2145213352876,repair_complete,4,13,10,3,0,0,0
1,1567.2599962042636,failure,9,12,10,2,1,0,1
1,1567.2599962042636,repair_start,9,12,10,2,1,1,0
1,1567.6063498438357,repair_complete,9,13,10,3,0,0,0
1,1571.7829274485184,failure,12,12,10,2,1,0,1
1,1571.7829274485184,repair_start,12,12,10,2,1,1,0
1,1572.5099448143271,repair_complete,12,13,10,3,0,0,0
1,1575.1427973577606,failure,4,12,10,2,1,0,1
1,1575.1427973577606,repair_start,4,12,10,2,1,1,0
1,1578.7029841792466,repair_complete,4,13,10,3,0,0,0
1,1580.7108369319776,failure,6,12,10,2,1,0,1
1,1580.7108369319776,repair_start,6,12,10,2,1,1,0
1,1581.5251661161458,repair_complete,6,13,10,3,0,0,0
1,1585.261051449718,failure,5,12,10,2,1,0,1
1,1585.261051449718,repair_start,5,12,10,2,1,1,0
1,1585.5131773678152,repair_complete,5,13,10,3,0,0,0
1,1589.814270120549,failure,3,12,10,2,1,0,1
1,1589.814270120549,repair_start,3,12,10,2,1,1,0
1,1591.2125824008845,repair_complete,3,13,10,3,0,0,0
1,1621.696636791003,failure,1,12,10,2,1,0,1
1,1621.696636791003,repair_start,1,12,10,2,1,1,0
1,1621.8383237722492,failure,9,11,10,1,2,1,1
