experiment,λ,c,time,queue,busy
3,0.9,1,22071.775195741408,8807,1
3,0.9,1,22094.024969124213,8827,1
3,0.9,1,22116.274742507016,8833,1
3,0.9,1,22138.52451588982,8838,1
3,0.9,1,22160.774289272624,8846,1
3,0.9,1,22183.02406265543,8859,1
3,0.9,1,22205.273836038232,8862,1
3,0.9,1,22227.523609421038,8884,1
3,0.9,1,22249.77338280384,8896,1
4,0.3,2,0.0,0,0
4,0.3,2,66.57530419295523,0,0
4,0.3,2,133.15060838591046,0,1
4,0.3,2,199.7259125788657,0,0
4,0.3,2,266.3012167718209,0,0
4,0.3,2,332.87652096477615,0,0
4,0.3,2,399.4518251577314,0,0
4,0.3,2,466.0271293506866,0,0
4,0.3,2,532.6024335436418,0,0
4,0.3,2,599.177737736597,0,1
4,0.3,2,665.7530419295523,1,2
4,0.3,2,732.3283461225075,0,1
4,0.3,2,798.9036503154628,0,1
4,0.3,2,865.4789545084179,0,1
4,0.3,2,932.0542587013732,0,0
4,0.3,2,998.6295628943284,0,0
4,0.3,2,1065.2048670872837,0,0
4,0.3,2,1131.7801712802388,0,1
4,0.3,2,1198.355475473194,0,1
4,0.3,2,1264.9307796661494,0,1
4,0.3,2,1331.5060838591046,0,0
4,0.3,2,1398.0813880520598,0,1
4,0.3,2,1464.656692245015,0,2
4,0.3,2,1531.2319964379703,0,0
4,0.3,2,1597.8073006309255,0,0
4,0.3,2,1664.3826048238807,0,0
4,0.3,2,1730.9579090168359,0,2
4,0.3,2,1797.533213209791,2,2
4,0.3,2,1864.1085174027464,0,1
4,0.3,2,1930.6838215957016,0,0
4,0.3,2,1997.2591257886568,0,0
4,0.3,2,2063.834429981612,0,1
4,0.3,2,2130.4097341745673,0,0
4,0.3,2,2196.9850383675225,0,0
4,0.3,2,2263.5603425604777,0,0
4,0.3,2,2330.135646753433,0,0
4,0.3,2,2396.710950946388,0,0
4,0.3,2,2463.286255139343,0,1
4,0.3,2,2529.861559332299,0,0
4,0.3,2,2596.436863525254,0,2
4,0.3,2,2663.012167718209,0,0
4,0.3,2,2729.5874719111644,0,0
4,0.3,2,2796.1627761041195,0,0
4,0.3,2,2862.7380802970747,0,0
4,0.3,2,2929.31338449003,0,0
4,0.3,2,2995.888688682985,0,0
4,0.3,2,3062.4639928759407,0,1
4,0.3,2,3129.039297068896,0,0
4,0.3,2,3195.614601261851,0,0
4,0.3,2,3262.189905454806,0,0
4,0.3,2,3328.7652096477614,0,0
4,0.3,2,3395.3405138407165,0,0
4,0.3,2,3461.9158180336717,0,0
4,0.3,2,3528.491122226627,0,2
4,0.3,2,3595.066426419582,0,0
4,0.3,2,3661.6417306125377,0,1
4,0.3,2,3728.217034805493,0,0
4,0.3,2,3794.792338998448,0,0
4,0.3,2,3861.367643191403,0,0
4,0.3,2,3927.9429473843584,0,1
4,0.3,2,3994.5182515773135,0,0
4,0.3,2,4061.0935557702687,0,1
4,0.3,2,4127.668859963224,0,0
4,0.3,2,4194.244164156179,0,1
4,0.3,2,4260.819468349135,0,0
4,0.3,2,4327.394772542089,0,0
4,0.3,2,4393.970076735045,0,0
4,0.3,2,4460.545380928001,0,1
4,0.3,2,4527.120685120955,1,2
4,0.3,2,4593.695989313911,0,0
4,0.3,2,4660.271293506866,3,2
4,0.3,2,4726.846597699821,0,0
4,0.3,2,4793.421901892776,0,1
4,0.3,2,4859.997206085732,0,0
4,0.3,2,4926.572510278686,0,0
4,0.3,2,4993.147814471642,1,2
4,0.3,2,5059.723118664598,0,0
4,0.3,2,5126.298422857552,0,1
4,0.3,2,5192.873727050508,0,0
4,0.3,2,5259.449031243463,0,1
4,0.3,2,5326.024335436418,0,0
4,0.3,2,5392.599639629373,0,1
4,0.3,2,5459.174943822329,0,1
4,0.3,2,5525.750248015283,0,1
4,0.3,2,5592.325552208239,0,0
4,0.3,2,5658.900856401195,1,2
4,0.3,2,5725.476160594149,0,0
4,0.3,2,5792.051464787105,0,0
4,0.3,2,5858.62676898006,0,2
4,0.3,2,5925.202073173015,0,0
4,0.3,2,5991.77737736597,0,1
4,0.3,2,6058.352681558926,0,0
4,0.3,2,6124.927985751881,0,0
4,0.3,2,6191.503289944836,0,0
4,0.3,2,6258.078594137792,0,2
4,0.3,2,6324.653898330746,0,1
4,0.3,2,6391.229202523702,0,0
4,0.3,2,6457.804506716657,0,0
4,0.3,2,6524.379810909612,0,1
4,0.3,2,6590.955115102567,0,0
4,0.3,2,6657.530419295523,0,2
