family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
seir,1000,10,0.05,10.0,0.25,40.0,6004,false,0.25,0.0,0.0,-1.0,0.0,60,37.52475430301409,649,83,48,220,0.22,351,341,0,0,0,353113,819,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6004_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6005,false,0.25,0.0,0.0,-1.0,0.0,74,39.49972088746508,581,69,71,279,0.279,419,409,0,0,0,342425,1028,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6005_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6006,false,0.25,0.0,0.0,-1.0,0.0,97,31.755365361751664,362,82,71,485,0.485,638,628,0,0,0,297392,1659,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6006_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6007,false,0.25,0.0,0.0,-1.0,0.0,94,39.175100739525654,491,86,87,336,0.336,509,499,0,0,0,329034,1248,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6007_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6008,false,0.25,0.0,0.0,-1.0,0.0,96,25.628839243685743,335,55,65,545,0.545,665,655,0,0,0,281060,1800,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6008_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6009,false,0.25,0.0,0.0,-1.0,0.0,88,39.868659267884894,562,69,88,281,0.281,438,428,0,0,0,340025,1068,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6009_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6010,false,0.25,0.0,0.0,-1.0,0.0,72,39.73269155355117,564,83,64,289,0.289,436,426,0,0,0,337476,1058,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6010_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6001,false,0.5,0.0,0.0,-1.0,0.0,110,34.790330721883926,427,30,83,460,0.46,573,563,0,0,0,314066,1556,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6001_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6002,false,0.5,0.0,0.0,-1.0,0.0,106,28.269785426425763,328,22,82,568,0.568,672,662,0,0,0,280704,1870,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6002_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6003,false,0.5,0.0,0.0,-1.0,0.0,130,31.420543207643675,256,28,77,639,0.639,744,734,0,0,0,268845,2079,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6003_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6004,false,0.5,0.0,0.0,-1.0,0.0,125,35.518914071028874,384,63,124,429,0.429,616,606,0,0,0,322445,1578,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6004_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6005,false,0.5,0.0,0.0,-1.0,0.0,102,37.23731217265816,391,44,86,479,0.479,609,599,0,0,0,312323,1633,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6005_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6006,false,0.5,0.0,0.0,-1.0,0.0,132,37.74866669924726,302,28,115,555,0.555,698,688,0,0,0,295416,1903,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6006_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6007,false,0.5,0.0,0.0,-1.0,0.0,90,31.633577885452663,365,25,55,555,0.555,635,625,0,0,0,286022,1780,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6007_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6008,false,0.5,0.0,0.0,-1.0,0.0,127,25.08782973325825,251,31,55,663,0.663,749,739,0,0,0,259919,2110,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6008_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6009,false,0.5,0.0,0.0,-1.0,0.0,109,35.649467573813396,334,32,85,549,0.549,666,656,0,0,0,296535,1829,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6009_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6010,false,0.5,0.0,0.0,-1.0,0.0,128,37.853367280129675,355,55,117,473,0.473,645,635,0,0,0,313587,1688,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6010_fixed=false_sigma=0p5_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6001,false,1.0,0.0,0.0,-1.0,0.0,153,28.500349710675525,234,14,53,699,0.699,766,756,0,0,0,261573,2197,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6001_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6002,false,1.0,0.0,0.0,-1.0,0.0,108,21.918552364359865,276,5,58,661,0.661,724,714,0,0,0,257241,2084,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6002_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6003,false,1.0,0.0,0.0,-1.0,0.0,136,23.696729936338922,280,4,39,677,0.677,720,710,0,0,0,249822,2093,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6003_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6004,false,1.0,0.0,0.0,-1.0,0.0,161,21.670642372850647,193,3,51,753,0.753,807,797,0,0,0,240612,2344,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6004_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6005,false,1.0,0.0,0.0,-1.0,0.0,118,32.65831118858226,281,10,61,648,0.648,719,709,0,0,0,281412,2056,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6005_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6006,false,1.0,0.0,0.0,-1.0,0.0,128,31.89550773742828,288,12,67,633,0.633,712,702,0,0,0,281059,2025,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6006_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6007,false,1.0,0.0,0.0,-1.0,0.0,119,29.397922227589852,247,17,80,656,0.656,753,743,0,0,0,271093,2125,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6007_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6008,false,1.0,0.0,0.0,-1.0,0.0,146,23.492583027228363,220,4,27,749,0.749,780,770,0,0,0,228336,2285,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6008_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6009,false,1.0,0.0,0.0,-1.0,0.0,131,23.546388094257363,265,1,34,700,0.7,735,725,0,0,0,249203,2149,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6009_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6010,false,1.0,0.0,0.0,-1.0,0.0,125,19.605821833210033,288,4,37,671,0.671,712,702,0,0,0,250380,2071,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6010_fixed=false_sigma=1p0_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
