family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
scan,1000,10,0.03,5.0,0.4,40.0,2005,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,978,0,0,22,0.022,22,12,0,0,0,195165,34,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2006,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,985,0,0,15,0.015,15,5,0,0,0,196376,20,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2007,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,981,0,0,19,0.019,19,9,0,0,0,196444,28,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2008,false,Inf,0.0,0.0,-1.0,0.0,11,0.07782769043457549,981,0,0,19,0.019,19,9,0,0,0,196294,28,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2009,false,Inf,0.0,0.0,-1.0,0.0,13,0.8531752941571435,985,0,0,15,0.015,15,5,0,0,0,196610,20,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.4,40.0,2010,false,Inf,0.0,0.0,-1.0,0.0,10,0.0,977,0,0,23,0.023,23,13,0,0,0,195607,36,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p4_T=40p0_seed=2010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2001,false,Inf,0.0,0.0,-1.0,0.0,175,29.700784605694565,286,0,112,602,0.602,714,704,0,0,0,268099,1306,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2002,false,Inf,0.0,0.0,-1.0,0.0,168,24.640801634501603,322,0,113,565,0.565,678,668,0,0,0,282125,1233,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2003,false,Inf,0.0,0.0,-1.0,0.0,166,25.031273192098052,345,0,100,555,0.555,655,645,0,0,0,286476,1200,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2004,false,Inf,0.0,0.0,-1.0,0.0,181,27.272309394612535,298,0,116,586,0.586,702,692,0,0,0,272217,1278,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2005,false,Inf,0.0,0.0,-1.0,0.0,205,35.48032701614494,327,0,180,493,0.493,673,663,0,0,0,313232,1156,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2006,false,Inf,0.0,0.0,-1.0,0.0,154,31.700468438652514,411,0,140,449,0.449,589,579,0,0,0,311906,1028,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2007,false,Inf,0.0,0.0,-1.0,0.0,213,26.90615262995276,238,0,100,662,0.662,762,752,0,0,0,257689,1414,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2008,false,Inf,0.0,0.0,-1.0,0.0,151,36.96961108631851,425,0,136,439,0.439,575,565,0,0,0,317612,1004,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2009,false,Inf,0.0,0.0,-1.0,0.0,182,23.919440013574643,284,0,97,619,0.619,716,706,0,0,0,259387,1325,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.15,40.0,2010,false,Inf,0.0,0.0,-1.0,0.0,137,22.60475687211603,350,0,105,545,0.545,650,640,0,0,0,274472,1185,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p15_T=40p0_seed=2010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.25,40.0,2001,false,Inf,0.0,0.0,-1.0,0.0,43,37.26929863369151,777,0,38,185,0.185,223,213,0,0,0,361677,398,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p25_T=40p0_seed=2001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.25,40.0,2002,false,Inf,0.0,0.0,-1.0,0.0,37,37.20555242786725,834,0,29,137,0.137,166,156,0,0,0,375080,293,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p25_T=40p0_seed=2002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.25,40.0,2003,false,Inf,0.0,0.0,-1.0,0.0,45,32.934573936843925,728,0,28,244,0.244,272,262,0,0,0,352551,506,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p25_T=40p0_seed=2003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.25,40.0,2004,false,Inf,0.0,0.0,-1.0,0.0,12,6.700783613891413,960,0,0,40,0.04,40,30,0,0,0,387056,70,true,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p25_T=40p0_seed=2004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.25,40.0,2005,false,Inf,0.0,0.0,-1.0,0.0,13,19.57792208591767,920,0,1,79,0.079,80,70,0,0,0,380289,149,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p25_T=40p0_seed=2005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,10.0,0.25,40.0,2006,false,Inf,0.0,0.0,-1.0,0.0,50,25.372683960080547,715,0,32,253,0.253,285,275,0,0,0,347603,528,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=10p0_gamma=0p25_T=40p0_seed=2006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
