t,S,I,R
2.52,972.9249852394789,18.38473360215339,8.69028115836675
2.53,972.835358869393,18.428343645485526,8.73629748512063
2.54,972.7455282044624,18.472048839650192,8.782422955886517
2.55,972.6554928391915,18.515849352056872,8.828657808750728
2.56,972.5652523675699,18.559745350210992,8.875002282218237
2.57,972.4748063830734,18.603737001712847,8.921456615212886
2.58,972.384154478665,18.647824474256527,8.968021047077649
2.59,972.2932962467955,18.69200793562883,9.01469581757484
2.6,972.2022312794046,18.736287553708195,9.061481166886363
2.61,972.1109591679217,18.78066349646358,9.108377335613925
2.62,972.0194795032666,18.82513593195338,9.155384564779274
2.63,971.9277918758505,18.86970502832432,9.202503095824406
2.64,971.8358958755771,18.914370953810323,9.249733170611805
2.65,971.7437910918431,18.9591338767314,9.297075031424633
2.66,971.6514771135397,19.003993965492523,9.344528920966974
2.67,971.5589535290527,19.048951388582477,9.392095082364017
2.68,971.4662199262642,19.09400631457273,9.439773759162284
2.69,971.3732758925531,19.139158912116265,9.487565195329822
2.7,971.2801210147964,19.18440934994644,9.535469635256417
2.71,971.1867548793696,19.229757796875806,9.583487323753783
2.72,971.0931770721485,19.27520442179495,9.631618506055768
2.73,970.9993871785093,19.320749393671303,9.679863427818535
2.74,970.9053847833304,19.366392881547966,9.72822233512077
2.75,970.8111694709928,19.412135054542492,9.776695474463853
2.76,970.7167408253814,19.457976081845715,9.825283092772052
2.77,970.6220984298859,19.50391613272052,9.873985437392705
2.78,970.5272418674022,19.549955376500627,9.922802756096388
2.79,970.4321707203327,19.596093982589384,9.97173529707711
2.8,970.3368845705882,19.642332120458516,10.020783308952465
2.81,970.2413829995884,19.688669959646898,10.069947040763816
2.82,970.1456655882633,19.7351076697593,10.11922674197645
2.83,970.0497319170541,19.78164542046515,10.168622662479754
2.84,969.9535815659144,19.82828338149725,10.21813505258736
2.85,969.8572141143112,19.875021722650533,10.26776416303732
2.86,969.7606291412261,19.92186061378076,10.31751024499224
