time,cwnd_first,cwnd_mean,queue,average_queue,drop_probability,throughput_mbps
23.73,38.02839652273188,25.86719822363299,34.22129863208063,34.18503359138516,0.0,20.0
23.732,38.04441648235504,25.883218183256158,34.581085409750024,34.18582569502189,0.0,20.0
23.734,38.06042721376142,25.899228914662537,34.941316766370335,34.18733667716459,0.0,20.0
23.736,38.07642871619327,25.915230417094378,35.301981127895004,34.18956596606605,0.0,20.0
23.738,38.09242098920984,25.931222690110953,35.66306713083294,34.19251296839558,0.0,20.0
23.74,38.1084040326806,25.94720573358172,36.0245636184818,34.19617706969576,0.0,20.0
23.742,38.124377846778565,25.963179547679673,36.3864596372276,34.20055763483082,0.0,20.0
23.744,38.14034243197377,25.97914413287488,36.748744432909604,34.20565400842698,0.0,20.0
23.746,38.15629778902686,25.995099489927956,37.11140744724924,34.211465515304624,0.0,20.0
23.748,38.17224391898279,26.011045619883888,37.474438314342265,34.217991460902695,0.0,20.0
23.75,38.18818082316468,26.026982524065783,37.83782685721279,34.22523113169532,0.0,20.0
23.752,38.20410850316774,26.042910204068836,38.20156308442844,34.23318379560078,0.0,20.0
23.754,38.22002696085336,26.058828661754465,38.56563718677541,34.24184870238313,0.0,20.0
23.756,38.23593619834327,26.07473789924437,38.93003953399249,34.25122508404635,0.0,20.0
23.758,38.251836218013835,26.090637918914936,39.294760671563104,34.26131215522138,0.0,20.0
23.76,38.26772702249047,26.106528723391566,39.65979131756429,34.27210911354607,0.0,20.0
23.762,38.28360861464212,26.122410315543217,40.02512235957175,34.28361514003813,0.0,20.0
23.764,38.29948099757591,26.13828269847701,40.39074485161997,34.2958293994613,0.0,20.0
23.766,38.31534417463184,26.154145875532937,40.756650011216415,34.308751040684804,0.0,20.0
23.768,38.331198149377606,26.169999850278703,41.122829216409045,34.322379197036256,0.0,20.0
23.77,38.34704292560352,26.18584462650462,41.48927400290604,34.336712986647996,0.0,20.0
23.772,38.36287850731754,26.201680208218637,41.85597606124699,34.35175151279719,0.0,20.0
23.774,38.37870489874037,26.217506599641474,42.22292723402456,34.36749386423965,0.0,20.0
23.776,38.39452210430068,26.23332380520177,42.590119513155855,34.38393911553749,0.0,20.0
23.778,38.41033012863039,26.249131829531493,42.95754503720255,34.40108632738082,0.0,20.0
23.78,38.42612897656009,26.264930677461187,43.325196088738984,34.41893454690353,0.0,20.0
23.782,38.441918653114506,26.280720354015603,43.693065091767345,34.437482807993256,0.0,20.0
23.784,38.45769916350805,26.29650086440915,44.061144609179216,34.45673013159563,0.0,20.0
23.786,38.47347051314053,26.312272214041624,44.42942734026255,34.47667552601296,0.0,20.0
23.788,38.48923270759283,26.328034408493934,44.79790611825341,34.49731798719745,0.0,20.0
23.79,38.50498575262279,26.343787453523884,45.16657390793158,34.51865649903891,0.0,20.0
23.792,38.520729654161045,26.359531355062146,45.53542380325938,34.54069003364735,0.0,20.0
23.794,38.53646441830709,26.375266119208185,45.90444902506282,34.56341755163018,0.0,20.0
23.796,38.552190051325276,26.39099175222637,46.27364291875448,34.58683800236443,0.0,20.0
23.798,38.56790655964099,26.406708260542082,46.64299895209729,34.6109503242639,0.0,20.0
23.8,38.583613949836845,26.422415650737936,47.01251071300844,34.63575344504139,0.0,20.0
23.802,38.599312228649,26.438113929550084,47.38217190740292,34.661246281966115,0.0,20.0
23.804,38.61500140296348,26.453803103864562,47.751976357075755,34.687427742116334,0.0,20.0
23.806,38.630681479812665,26.469483180713755,48.121917997622376,34.714296722627346,0.0,20.0
23.808,38.64635246637175,26.485154167272846,48.49199087639646,34.741852110934886,0.0,20.0
23.81,38.662014369955344,26.50081607085643,48.86218915050449,34.77009278501403,0.0,20.0
23.812,38.67766719801408,26.516468898915168,49.23250708483654,34.79901761361368,0.0,20.0
23.814,38.693310958131356,26.532112659032443,49.602939050132385,34.82862545648671,0.0,20.0
23.816,38.70894565802009,26.547747358921175,49.973479521082616,34.8589151646159,0.0,20.0
23.818,38.724571305519554,26.563373006420637,50.34412307446388,34.889885580435596,0.0,20.0
23.82,38.74018790859227,26.57898960949335,50.714864387307806,34.92153553804934,0.0,20.0
23.822,38.75579547532098,26.594597176222056,51.0856982351029,34.953863863443445,0.0,20.0
23.824,38.77139401390565,26.610195714806732,51.45661949002892,34.98686937469662,0.0,20.0
23.826,38.78698353266056,26.625785233561636,51.82762311922305,35.02055088218567,0.0,20.0
23.828,38.802564040011426,26.641365740912512,52.19870418307738,35.054907188787446,0.0,20.0
23.83,38.81813554449261,26.656937245393692,52.569857833567156,35.08993709007701,0.0,20.0
23.832,38.83369805474436,26.672499755645436,52.941079312609105,35.12563937452207,0.0,20.0
23.834,38.8492515795101,26.688053280411182,53.312363950449466,35.162012823673926,0.0,20.0
23.836,38.8647961276338,26.703597828534885,53.68370716408107,35.19905621235474,0.0,20.0
23.838,38.88033170805739,26.71913340895847,54.05510445568903,35.236768308841405,0.0,20.0
23.84,38.895858329818196,26.73466003071928,54.42655141112449,35.275147875045974,0.0,20.0
23.842,38.91137600204648,26.750177702947557,54.79804369840588,35.31419366669269,0.0,20.0
23.844,38.92688473396298,26.765686434864055,55.1695770662473,35.3539044334918,0.0,20.0
23.846,38.94238453487652,26.781186235777596,55.541147342613456,35.39427891931004,0.0,20.0
23.848,38.95787541418168,26.79667711508276,55.912750433300644,35.43531586233802,0.0,20.0
23.85,38.973357381356486,26.812159082257576,56.2843823205434,35.47701399525444,0.0,20.0
23.852,38.988830445960176,26.827632146861255,56.65603906164631,35.51937204538722,0.0,20.0
23.854,39.00429461763096,26.843096318532044,57.027716787640514,35.562388734871725,0.0,20.0
23.856,39.0197499060839,26.858551606984978,57.39941170196447,35.606062780805914,0.0,20.0
23.858,39.035196321108764,26.873998022009847,57.771120079168526,35.65039289540263,0.0,20.0
23.86,39.05063387256796,26.889435573469026,58.14283826364293,35.69537778613911,0.0,20.0
23.862,39.066062570394486,26.904864271295565,58.51456266836871,35.741016155903566,0.0,20.0
23.864,39.08148242458998,26.92028412549106,58.88628977369122,35.787306703139144,0.0,20.0
23.866,39.09689344522271,26.935695146123795,59.258016126115734,35.8342481219851,0.0,20.0
23.868,39.11229564242571,26.951097343326786,59.62973833712485,35.88183910241538,0.0,20.0
23.87,39.127689026394854,26.96649072729593,60.001453082017164,35.93007833037458,0.0,20.0
23.872,39.14307360738707,26.98187530828816,60.373157098766995,35.97896448791136,0.0,20.0
23.874,39.15844939571851,26.997251096619593,60.74484718690459,36.02849625330935,0.0,20.0
23.876,39.173816401762785,27.01261810266387,61.116520206416624,36.07867230121556,0.0,20.0
23.878,39.18917463594924,27.02797633685032,61.488173076666456,36.12949130276646,0.0,20.0
23.88,39.20452410876128,27.043325809662345,61.85980277533395,36.1809519257116,0.0,20.0
23.882,39.21986483073466,27.058666531635737,62.231406337374324,36.233052834534924,0.0,20.0
23.884,39.235196812455925,27.073998513356997,62.60298085399586,36.28579269057384,0.0,20.0
23.886,39.250520064560774,27.089321765461847,62.97452347165597,36.339170152136006,0.0,20.0
23.888,39.2658345977325,27.10463629863357,63.346031391075485,36.39318387461388,0.0,20.0
23.89,39.28114042270049,27.119942123601557,63.717501866270524,36.447832510597195,0.0,20.0
23.892,39.296437550238686,27.135239251139755,64.08893220360201,36.50311470998321,0.0,20.0
23.894,39.31172599116416,27.15052769206523,64.46031976084217,36.55902912008492,0.0,20.0
23.896,39.327005756335645,27.165807457236713,64.83166194625792,36.61557438573727,0.0,20.0
23.898,39.34227685665214,27.181078557553214,65.20295621771078,36.67274914940121,0.0,20.0
23.9,39.35753930305154,27.19634100395261,65.57420008177291,36.73055205126596,0.0,20.0
23.902,39.372793106509256,27.211594807410325,65.94539109285918,36.788981729349146,0.0,20.0
23.904,39.38803827803693,27.226839978938006,66.31652685237476,36.8480368195952,0.0,20.0
23.906,39.40327482868111,27.242076529582192,66.68760500787812,36.90771595597177,0.0,20.0
23.908,39.41850276952199,27.257304470423065,67.05862325225908,36.96801777056434,0.0,20.0
23.91,39.43372211167217,27.27252381257324,67.42957932293163,37.02894089366907,0.0,20.0
23.912,39.44893286627542,27.2877345671765,67.80047100104127,37.09048395388382,0.0,20.0
23.914,39.46413504450552,27.30293674540659,68.1712961106866,37.15264557819743,0.0,20.0
23.916,39.479328657565055,27.31813035846613,68.54205251815495,37.215424392077345,0.0,20.0
23.918,39.4945137166843,27.333315417585382,68.91273813117166,37.278819019555534,0.0,20.0
23.92,39.5096902331201,27.348491934021173,69.28335089816301,37.34282808331275,0.0,20.0
23.922,39.52485821815472,27.363659919055795,69.65388880753211,37.4074502047612,0.0,20.0
23.924,39.54001768309485,27.37881938399593,70.02434988694816,37.472684004125576,0.0,20.0
23.926,39.555168639270505,27.39397034017158,70.39473220264814,37.53852810052262,0.0,20.0
23.928,39.57031109803399,27.409112798935066,70.76503385875125,37.60498111203908,0.0,20.0
23.93,39.58544507075891,27.42424677165999,71.13525299658558,37.67204165580817,0.0,20.0
23.932,39.60057056883918,27.439372269740257,71.5053877940268,37.73970834808461,0.0,20.0
23.934,39.61568760368805,27.45448930458913,71.87543646484885,37.807979804318144,0.0,20.0
23.936,39.63079618673717,27.469597887638248,72.24539725808611,37.876854639225684,0.0,20.0
23.938,39.64589632943564,27.484698030336713,72.61526845740718,37.94633146686205,0.0,20.0
23.94,39.66098804324911,27.4997897441502,72.9850483804997,38.01640890068932,0.0,20.0
23.942,39.67607133965893,27.51487304056001,73.35473537846634,38.087085553644876,0.0,20.0
23.944,39.691146230161216,27.529947931062296,73.72432783523152,38.15836003820805,0.0,20.0
23.946,39.70621272626603,27.545014427167104,74.09382416695878,38.230230966465555,0.0,20.0
23.948,39.72127083949656,27.56007254039763,74.4632228214786,38.30269695017558,0.0,20.0
23.95,39.73632058138828,27.575122282289353,74.83252227772638,38.375756600830684,0.0,20.0
23.952,39.75136196348815,27.590163664389223,75.20172104519062,38.4494085297194,0.0,20.0
23.954,39.766394997353856,27.605196698254925,75.57081766337078,38.52365134798671,0.0,20.0
23.956,39.78141969455303,27.620221395454106,75.93981070124498,38.59848366669323,0.0,20.0
23.958,39.7964360666625,27.635237767563577,76.30869875674716,38.673904096873336,0.0,20.0
23.96,39.811444125267556,27.650245826168636,76.67748045625358,38.749911249592095,0.0,20.0
23.962,39.82644388196124,27.665245582862312,77.04615445407845,38.826503736001065,0.0,20.0
23.964,39.84143534834363,27.680237049244706,77.41471943197867,38.90368016739302,0.0,20.0
23.966,39.85641853602117,27.695220236922236,77.78317409866729,38.981439155255565,0.0,20.0
23.968,39.87139345660598,27.71019515750705,78.15151718933573,39.05977931132373,0.0,20.0
23.97,39.886360121715214,27.725161822616283,78.51974746518451,39.13869924763145,0.0,20.0
23.972,39.90131854297041,27.74012024387148,78.88786371296229,39.21819757656211,0.0,20.0
23.974,39.916268731996844,27.755070432897913,79.25586474451318,39.298272910898014,0.0,20.0
23.976,39.93121070042295,27.770012401324024,79.62374939633216,39.378923863868884,0.0,20.0
23.978,39.94614445987968,27.784946160780745,79.99151652912829,39.4601490491994,0.0,20.0
23.98,39.96107002199994,27.799871722901006,80.3591650273958,39.5419470811558,0.0,20.0
23.982,39.975987398417985,27.814789099319054,80.72669379899278,39.624316574591475,0.0,20.0
23.984,39.990896600768885,27.829698301669954,81.09410177472736,39.707256144991746,0.0,20.0
23.986,40.00579764068796,27.84459934158903,81.46138790795128,39.79076440851766,0.0,20.0
23.988,40.02069052981023,27.859492230711304,81.82855117416062,39.87483998204895,0.0,20.0
23.99,40.03557527976991,27.874376980670977,82.19559057060374,39.95948148322606,0.0,20.0
23.992,40.05045190219987,27.88925360310093,82.56250511589604,40.044687530491395,0.0,20.0
23.994,40.06532040873113,27.904122109632205,82.92929384964171,40.13045674312969,0.0,20.0
23.996,40.0801808109924,27.918982511893468,83.29595583206206,40.216787741307556,0.0,20.0
23.998,40.095033120609564,27.933834821510626,83.66249014363055,40.3036791461122,0.0,20.0
24.0,40.109877349205206,27.948679050106275,84.02889588471423,40.3911295795894,0.0,20.0
24.002,40.124713508398166,27.96351520929923,84.39517217522159,40.479137664780666,0.0,20.0
24.004,40.13954160980308,27.978343310704147,84.76131815425661,40.567702025759615,0.0,20.0
24.006,40.15436166502995,27.993163365931014,85.12733297977898,40.656821287667654,0.0,20.0
24.008,40.16917368568369,28.00797538658475,85.49321582827027,40.74649407674885,0.0,20.0
24.01,40.18397768336372,28.02277938426479,85.85896589440608,40.836719020384166,0.0,20.0
24.012,40.19877366966357,28.03757537056463,86.22458239073401,40.92749474712487,0.0,20.0
24.014,40.21356165617043,28.052363357071496,86.59006454735726,41.01881988672534,0.0,20.0
24.016,40.2283416544648,28.067143355365864,86.95541161162382,41.11069307017513,0.0,20.0
24.018,40.2431136761201,28.081915377021165,87.32062284782126,41.20311292973042,0.0,20.0
24.02,40.257877732702276,28.096679433603335,87.6856975368768,41.29607809894472,0.0,20.0
24.022,40.27263383576945,28.111435536670506,88.05063497606278,41.389587212698956,0.0,20.0
24.024,40.28738199687154,28.1261836977726,88.4154344787072,41.483638907230976,0.0,20.0
24.026,40.30212222754994,28.14092392845099,88.78009537390952,41.57823182016433,0.0,20.0
24.028,40.31685453933714,28.1556562402382,89.14461700626138,41.67336459053653,0.0,20.0
24.03,40.331578943756455,28.170380644657516,89.50899873557229,41.7690358588266,0.0,20.0
24.032,40.34629545232162,28.185097153222678,89.87323993660011,41.865244266982145,0.0,20.0
24.034,40.36100407653653,28.199805777437597,90.23733999878634,41.96198845844575,0.0,20.0
24.036,40.3757048278949,28.214506528795965,90.60129832599604,42.05926707818085,0.0,20.0
24.038,40.39039771787997,28.229199418781032,90.96511433626235,42.15707877269702,0.0,20.0
24.04,40.405082757964216,28.24388445886528,91.32878746153547,42.2554221900747,0.0,20.0
24.042,40.419759959609046,28.258561660510104,91.69231714743613,42.35429597998942,0.0,20.0
