time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
25.461265300072064,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
26.23900463917238,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
26.25157709955388,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
28.47183771820301,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28.82856121877992,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
29.542988745100384,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
30.287930055154384,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30.79223730342308,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
30.793798559962575,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
31.23055477529146,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32.07636280376123,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
32.553577552959624,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
33.11503832081422,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
33.441325672087274,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
33.49246177180254,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
33.75286023135496,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
35.10546498475945,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
35.513942346398345,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
36.97335481381771,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
37.497865346956104,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
37.63169670194544,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
38.022584632904966,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
38.388473422000594,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
38.53039090863961,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
41.09100339042936,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
41.10693592661389,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
41.20970247488769,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
41.48972305714239,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
41.74709617264108,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
41.81648956498556,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
43.789355395248954,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
45.80738642629731,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
45.971095104447926,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
46.98383798510118,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
47.69772386172697,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
48.32486819254867,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
48.90465741759109,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
