time,prey,predator,invariant
88.6,18.04775615289703,4.068501773613649,-0.746386293965757
88.7,18.08228535607617,4.020232299890802,-0.7463862939659361
88.8,18.118616749298486,3.9726762602514483,-0.7463862939657557
88.9,18.15673510261543,3.9258289097551304,-0.7463862939658484
89.0,18.196625677233904,3.8796853286160298,-0.7463862939659047
89.1,18.23827421560655,3.834240433377956,-0.7463862939657762
89.2,18.28166692834987,3.78948899152121,-0.7463862939658903
89.3,18.326790482646054,3.7454256335260805,-0.7463862939658668
89.4,18.373631992043002,3.702044863787124,-0.7463862939657656
89.5,18.422179003105725,3.6593410739898586,-0.746386293965929
89.6,18.472419486229605,3.6173085520742934,-0.7463862939658589
89.7,18.524341824014076,3.5759414936379805,-0.746386293965767
89.8,18.5779347994604,3.5352340126561974,-0.7463862939659598
89.9,18.63318758746528,3.49518014931749,-0.7463862939658029
90.0,18.690089742373182,3.455773881028938,-0.7463862939658327
90.1,18.74863118848017,3.417009130353126,-0.7463862939660211
90.2,18.80880221077493,3.378879772882645,-0.7463862939657271
90.3,18.87059344286442,3.341379646866017,-0.7463862939658967
90.4,18.933995859126487,3.3045025592717536,-0.746386293966066
90.5,18.999000764688336,3.268242293541833,-0.7463862939656727
90.6,19.06559978423512,3.232592617660517,-0.7463862939659007
90.7,19.133784854946935,3.1975472891666437,-0.7463862939661002
90.8,19.20354821636259,3.1631000622334136,-0.7463862939656465
90.9,19.274882399833555,3.129244694563061,-0.7463862939659052
91.0,19.34778022202086,3.09597495156895,-0.7463862939661503
91.1,19.422234774852527,3.063284612674054,-0.7463862939656434
91.2,19.498239415483358,3.031167477247077,-0.7463862939658874
91.3,19.57578776022528,2.999617368099726,-0.746386293966229
91.4,19.654873674820053,2.9686281369363456,-0.7463862939656806
91.5,19.735491264542304,2.9381936696123847,-0.7463862939658443
91.6,19.817634868659656,2.9083078889748957,-0.7463862939663102
91.7,19.901299051105635,2.8789647594915353,-0.7463862939658106
91.8,19.98647859048934,2.850158291977976,-0.7463862939657859
91.9,20.07316847502839,2.821882545918217,-0.7463862939663035
92.0,20.161363893667474,2.7941316333134227,-0.7463862939660839
92.1,20.25106022627498,2.7668997227743977,-0.7463862939656871
92.2,20.34225303799459,2.740181041840352,-0.7463862939660919
92.3,20.434938071733075,2.713969879772784,-0.7463862939664223
92.4,20.52911123871233,2.6882605909968715,-0.7463862939657968
92.5,20.624768610850765,2.6630475978533905,-0.7463862939657676
92.6,20.721906415499305,2.638325392275154,-0.7463862939665036
