time,black,white,temperature,luminosity,albedo
105,532,349,29.517612946685865,1.0,0.4470555555555554
106,531,359,28.939082993634578,1.0,0.45111111111111113
107,523,363,28.375262393059835,1.0,0.4539999999999999
108,521,366,27.92598647408706,1.0,0.4554999999999999
109,524,364,27.667076511517664,1.0,0.4542222222222222
110,522,367,27.4360411742275,1.0,0.4557222222222222
111,518,370,27.19189405987077,1.0,0.4575555555555555
112,516,373,26.908588251166076,1.0,0.45905555555555555
113,510,380,26.58403824121378,1.0,0.4627777777777778
114,502,392,26.005593722264877,1.0,0.46877777777777774
115,497,399,25.395923045502652,1.0,0.4723333333333334
116,496,401,24.927953830734705,1.0,0.47327777777777785
117,494,403,24.555138229878583,1.0,0.4743888888888889
118,489,408,24.182210385029506,1.0,0.47716666666666674
119,488,409,23.86665448551636,1.0,0.47772222222222227
120,488,409,23.698788026244344,1.0,0.47772222222222227
121,380,474,21.906510671790457,1.0,0.5209999999999998
122,349,526,19.048066584832434,1.0,0.5463888888888886
123,356,531,17.03251801112229,1.0,0.5471666666666665
124,388,502,16.41420125501272,1.0,0.5305555555555556
125,400,497,16.19252362032361,1.0,0.5266111111111111
126,406,493,16.152815955663517,1.0,0.5240555555555555
127,412,487,16.24263773189315,1.0,0.5207222222222222
128,419,480,16.513326827609177,1.0,0.5168333333333333
129,421,477,16.779312420277627,1.0,0.5153333333333333
130,424,473,17.1152001910654,1.0,0.5132777777777777
131,425,472,17.376073561762485,1.0,0.5127222222222222
132,431,466,17.671465902886368,1.0,0.5093888888888888
133,435,461,18.029671669346033,1.0,0.5067777777777777
134,439,458,18.381713222007164,1.0,0.5049444444444444
135,445,453,18.734613943267465,1.0,0.502
136,454,444,19.23580978927587,1.0,0.49699999999999994
137,456,441,19.661176391718723,1.0,0.4955
138,459,439,20.005931607985712,1.0,0.4942222222222222
139,457,439,20.214472538266723,1.0,0.4945555555555556
140,460,437,20.50529862137808,1.0,0.49327777777777776
141,462,435,20.690263942116157,1.0,0.49216666666666664
142,460,437,20.748614589729005,1.0,0.49327777777777776
143,459,437,20.83629579246173,1.0,0.49344444444444446
144,465,430,21.012124069628598,1.0,0.4897222222222222
145,470,426,21.297193410603157,1.0,0.48733333333333334
146,476,420,21.685439750330318,1.0,0.48400000000000004
147,476,418,21.979605072437117,1.0,0.4832222222222222
148,477,417,22.183358464571892,1.0,0.48266666666666663
149,473,421,22.18124085389298,1.0,0.48488888888888887
150,477,417,22.284659588273,1.0,0.48266666666666663
151,480,413,22.46598654906458,1.0,0.48061111111111104
152,479,413,22.655942832547517,1.0,0.4807777777777777
153,484,408,22.857364213173934,1.0,0.4779999999999999
154,490,400,23.265163573745088,1.0,0.4738888888888889
155,493,398,23.62224644878595,1.0,0.4726111111111111
156,497,394,23.91119984995784,1.0,0.47038888888888886
157,500,391,24.21270995114279,1.0,0.4687222222222222
158,502,392,24.396787144690283,1.0,0.46877777777777774
159,500,393,24.57412344923983,1.0,0.4695
160,503,392,24.620442871342586,1.0,0.4686111111111111
161,507,360,25.71480292848843,1.0,0.4554999999999999
162,533,347,27.01710952360795,1.0,0.4461111111111111
163,531,348,27.75149124493152,1.0,0.44683333333333314
164,506,375,27.61527358013592,1.0,0.4614999999999998
165,501,392,26.722110525358083,1.0,0.4689444444444444
166,497,401,25.93605573752478,1.0,0.47311111111111104
167,494,403,25.222287833235004,1.0,0.4743888888888888
168,491,406,24.696597696055086,1.0,0.47605555555555545
169,491,407,24.321209367020597,1.0,0.4764444444444444
170,490,407,24.04338380240007,1.0,0.47661111111111104
171,489,407,23.840139575644447,1.0,0.4767777777777777
172,482,412,23.595102319327037,1.0,0.4798888888888888
173,484,411,23.46636941480641,1.0,0.47916666666666663
174,483,409,23.401299001475486,1.0,0.4785555555555554
175,481,411,23.302827968697372,1.0,0.47966666666666646
176,478,414,23.132858608337507,1.0,0.4813333333333331
177,477,413,23.025326448785385,1.0,0.4811111111111109
178,477,415,22.92171651466868,1.0,0.48188888888888876
179,480,416,22.84549053091064,1.0,0.4817777777777777
180,480,416,22.79565420103203,1.0,0.4817777777777777
181,482,415,22.77063100232591,1.0,0.48105555555555546
182,483,414,22.812382727763726,1.0,0.4804999999999999
183,486,410,22.916161232102414,1.0,0.47844444444444434
184,489,407,23.06478496141622,1.0,0.4767777777777777
185,491,401,23.325028010529998,1.0,0.474111111111111
186,493,401,23.525643800445373,1.0,0.47377777777777763
187,493,401,23.679469973677033,1.0,0.47377777777777763
188,494,401,23.77459983750719,1.0,0.473611111111111
189,496,401,23.876685218110094,1.0,0.4732777777777777
190,494,403,23.873919539379894,1.0,0.4743888888888888
191,492,404,23.807323255504702,1.0,0.475111111111111
192,494,402,23.90317367319367,1.0,0.4739999999999999
193,491,405,23.841601162843155,1.0,0.47566666666666657
194,489,407,23.722030571456656,1.0,0.4767777777777777
195,490,408,23.60447325954835,1.0,0.4769999999999999
196,485,413,23.388517909401934,1.0,0.47977777777777775
197,481,416,23.218847497705056,1.0,0.48161111111111105
198,482,415,23.082537095148403,1.0,0.48105555555555546
199,483,414,23.01486222548887,1.0,0.4804999999999999
200,479,417,22.864459203967,1.0,0.4823333333333332
201,480,403,23.28902364754625,1.005,0.476722222222222
202,459,412,23.428601299736776,1.0099999999999998,0.48372222222222205
203,466,414,23.601358160008346,1.0149999999999997,0.48333333333333334
204,495,400,24.179944055694854,1.0199999999999996,0.47305555555555556
205,510,387,25.11229349370334,1.0249999999999995,0.4655
206,514,384,25.96183014611248,1.0299999999999994,0.46366666666666667
207,513,384,26.499040106950634,1.0349999999999993,0.4638333333333333
208,513,381,27.065755920138795,1.0399999999999991,0.4626666666666666
209,510,382,27.557523559968505,1.044999999999999,0.46355555555555555
210,509,383,27.965066384183125,1.049999999999999,0.4641111111111111
211,509,384,28.335190462744407,1.0549999999999988,0.4645
212,512,380,28.746629517009332,1.0599999999999987,0.4624444444444445
213,506,383,29.09928818575947,1.0649999999999986,0.46461111111111114
214,500,393,29.190952817937596,1.0699999999999985,0.46950000000000003
215,497,396,29.288098366055355,1.0749999999999984,0.4711666666666667
216,492,400,29.332895104785763,1.0799999999999983,0.4735555555555556
217,489,405,29.31290374221286,1.0849999999999982,0.476
218,485,409,29.286012163988207,1.089999999999998,0.4782222222222222
